Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_07_15_10_09_29_trial_1_TC,TC-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_14_18_26_trial_1_TC,TC-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_10_04_14_trial_1_TC,TC-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_14_13_01_trial_1_TC,TC-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_10_16_11_trial_1_TC,TC-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_14_48_06_trial_1_TC,TC-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_10_22_17_trial_1_TC,TC-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_14_22_00_trial_1_TC,TC-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_22_03_trial_1_TC,TC-2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_13_55_19_trial_1_TC,TC-2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_17_02_trial_1_TC,TC-2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_45_13_trial_1_TC,TC-2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_41_11_trial_1_TC,TC-2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_23_01_trial_1_TC,TC-2,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_57_03_trial_1_TC,TC-2,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_17_03_trial_1_TC,TC-2,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_32_00_trial_1_TC,TC-3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_08_07_trial_1_TC,TC-3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_33_39_trial_1_TC,TC-3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_55_13_trial_1_TC,TC-3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_53_00_trial_1_TC,TC-3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_40_54_trial_1_TC,TC-3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_08_20_trial_1_TC,TC-3,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_33_13_trial_1_TC,TC-3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_41_04_trial_1_TC,TC-4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_19_02_trial_1_TC,TC-4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_12_09_36_trial_1_TC,TC-4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_15_09_06_trial_1_TC,TC-4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
