Anonymous_Name,TimestampID,Box_Coordinates,Trial_Number,Trial_Frames,Session_Date,Trial_Type,Timestamp_Created,Original_File
Video_Powerful_Addicted_Exhibition,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 11:18,
Video_Fancy_Glib_Head,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 11:18,
Video_Finicky_Malicious_Staircase,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 11:18,
Video_Dull_Judicious_Pun,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 11:42,
Video_Romantic_Clear_Joey,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 11:42,
Video_Stale_Berserk_Acorn,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 11:42,
Video_Elfin_Longing_Overweight,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 11:49,
Video_Chilly_Languid_Lasagna,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 11:49,
Video_Ragged_Oafish_Mustard,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 11:49,
Video_Erratic_Fair_Spot,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 13:06,
Video_Boring_Standing_Rostrum,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 13:06,
Video_Salty_Wistful_Minority,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 13:06,
Video_Chivalrous_Deadpan_Presume,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 15:47,
Video_Lethal_Merciful_Wetland,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 15:48,
Video_Better_Hurried_Artifact,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 15:48,
Video_Slimy_Cagey_Piece,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 16:04,
Video_Holistic_Forgetful_Koala,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 16:04,
Video_Kaput_Steady_Bonfire,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 16:04,
Video_Wrong_Rough_Wingtip,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 16:41,
Video_Recondite_Tough_Literature,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 16:41,
Video_Gainful_Defective_Pail,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 16:41,
Video_Adorable_Lonely_Brace,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 16:44,
Video_Solid_Abrupt_Start,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 16:44,
Video_Bright_Clever_View,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 16:44,
Video_Tawdry_Happy_Prevalence,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/16/25 16:48,
Video_Powerful_Silent_Inventor,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/16/25 16:48,
Video_Talented_Crooked_Holder,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/16/25 16:48,
Video_Watchful_Animated_Bucket,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/17/25 15:24,
Video_Nosy_Obscene_Octopus,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,1,18-291,2025_09_19,TC,10/17/25 15:27,
Video_Numerous_Longing_Conversion,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,2,358-633,2025_09_19,TC,10/17/25 15:27,
Video_Efficient_Boiling_Shaw,2025_09_19_13_53_26_trial_1_TC,542_192_1093_436,3,698-973,2025_09_19,TC,10/17/25 15:27,
Video_Spooky_Pathetic_Banquette,2025_09_19_13_53_26_trial_1_TC,138_519_359_1445,1,18-291,2025_09_19,TC,10/27/25 12:52,
Video_Quick_Super_Blackness,2025_09_19_13_53_26_trial_1_TC,138_519_359_1445,2,358-633,2025_09_19,TC,10/27/25 12:52,
Video_Abashed_Elegant_Vengeance,2025_09_19_13_53_26_trial_1_TC,138_519_359_1445,3,698-973,2025_09_19,TC,10/27/25 12:52,
Video_Puffy_Fearless_Framework,2025_09_19_13_53_26_trial_1_TC,377_535_604_1450,1,18-291,2025_09_19,TC,10/27/25 12:52,
Video_Ambiguous_Smelly_Viscose,2025_09_19_13_53_26_trial_1_TC,377_535_604_1450,2,358-633,2025_09_19,TC,10/27/25 12:52,
Video_Aloof_Zippy_Secrecy,2025_09_19_13_53_26_trial_1_TC,377_535_604_1450,3,698-973,2025_09_19,TC,10/27/25 12:52,
Video_Flawless_Ashamed_Scallops,2025_09_19_13_53_26_trial_1_TC,622_532_838_1455,1,18-291,2025_09_19,TC,10/27/25 12:52,
Video_Utter_Barbarous_Conversion,2025_09_19_13_53_26_trial_1_TC,622_532_838_1455,2,358-633,2025_09_19,TC,10/27/25 12:52,
Video_Jealous_Aromatic_Lasagna,2025_09_19_13_53_26_trial_1_TC,622_532_838_1455,3,698-973,2025_09_19,TC,10/27/25 12:52,
Video_Sordid_Enchanting_Website,2025_09_19_13_53_26_trial_1_TC,846_561_1056_1463,1,18-291,2025_09_19,TC,10/27/25 12:52,
Video_Changeable_Decisive_Thumb,2025_09_19_13_53_26_trial_1_TC,846_561_1056_1463,2,358-633,2025_09_19,TC,10/27/25 12:52,
Video_Lethal_Auspicious_Ridge,2025_09_19_13_53_26_trial_1_TC,846_561_1056_1463,3,698-973,2025_09_19,TC,10/27/25 12:52,
Video_Funny_Imminent_View,2025_09_19_13_53_26_trial_1_TC,1093_522_1314_1458,1,18-291,2025_09_19,TC,10/27/25 12:52,
Video_Selfish_Jagged_Dramaturge,2025_09_19_13_53_26_trial_1_TC,1093_522_1314_1458,2,358-633,2025_09_19,TC,10/27/25 12:52,
Video_Onerous_Alert_Familiar,2025_09_19_13_53_26_trial_1_TC,1093_522_1314_1458,3,698-973,2025_09_19,TC,10/27/25 12:52,
Video_Imminent_Cuddly_Diner,2025_09_19_13_53_26_trial_1_TC,1332_543_1556_1466,1,18-291,2025_09_19,TC,10/27/25 12:52,
Video_Drunk_Workable_Bandana,2025_09_19_13_53_26_trial_1_TC,1332_543_1556_1466,2,358-633,2025_09_19,TC,10/27/25 12:52,
Video_Wiry_Ripe_Autumn,2025_09_19_13_53_26_trial_1_TC,1332_543_1556_1466,3,698-973,2025_09_19,TC,10/27/25 12:52,
