Run_Date,Start Time,Run_Name,Species,Group,Troupe,Block,Worms_Day,Block Type,Data_Folder,No. worms,Trough No.,Worm Runner
20250130,,Pilot_GD_LO_TrPhenoTest_1_Day1_Block1_LO,GD,LO,PhenoTest_1,1,1,LO,2025_01_30_16_22_07_trial_1_LO,6,Milled + electrodes,MCS
20250131,14:57,Pilot_GD_LO_TrPhenoTest_2_Day1_Block1_LO,GD,LO,PhenoTest_2,1,1,LO,2025_01_31_14_57_10_trial_1_LO,6,Milled + electrodes,ZK
20250131,17:10,Pilot_GD_LO_TrPhenoTest_3_Day1_Block1_LO,GD,LO,PhenoTest_3,1,1,LO,2025_01_31_17_10_05_trial_1_LO,6,Milled + electrodes,ZK
20250203,10:30,Pilot_GD_LO_TrPhenoTest_4_Day1_Block1_LO,GD,LO,PhenoTest_4,1,1,LO,2025_02_03_10_30_35_trial_1_LO,6,Milled + electrodes,MCS
20250203,11:34,Pilot_GD_LO_TrPhenoTest_5_Day1_Block1_LO,GD,LO,PhenoTest_5,1,1,LO,2025_02_03_11_34_02_trial_1_LO,6,Milled + electrodes,MCS
20250203,12:10,Pilot_GD_LO_TrPhenoTest_6_Day1_Block1_LO,GD,LO,PhenoTest_6,1,1,LO,2025_02_03_12_10_50_trial_1_LO,6,Milled + electrodes,MCS
20250203,15:12,Pilot_GD_LO_TrPhenoTest_1_Day2_Block1_LO,GD,LO,PhenoTest_1,1,2,LO,2025_02_03_15_12_40_trial_1_LO,6,Milled + electrodes,ZK
20250203,15:58,Pilot_GD_LO_TrPhenoTest_2_Day2_Block1_LO,GD,LO,PhenoTest_2,1,2,LO,2025_02_03_15_58_35_trial_1_LO,6,Milled + electrodes,ZK
20250203,16:45,Pilot_GD_LO_TrPhenoTest_3_Day2_Block1_LO,GD,LO,PhenoTest_3,1,2,LO,2025_02_03_16_45_21_trial_1_LO,6,Milled + electrodes,ZK
20250204,9:38,Pilot_GD_LO_TrPhenoTest_5_Day2_Block1_LO,GD,LO,PhenoTest_5,1,2,LO,2025_02_04_09_38_33_trial_1_LO,6,Milled + electrodes,MCS
20250204,12:38,Pilot_GD_LO_TrPhenoTest_6_Day2_Block1_LO,GD,LO,PhenoTest_6,1,2,LO,2025_02_04_12_38_33_trial_1_LO,6,Milled + electrodes,MCS
20250204,,Pilot_GD_LO_TrPhenoTest_4_Day2_Block1_LO,GD,LO,PhenoTest_4,1,2,LO,2025_02_04_13_55_54_trial_1_LO,6,Milled + electrodes,MCS
20250204,15:05,Pilot_GD_CC_TrGD_triangle_Day2_Block1_CC,GD,CC,GD_triangle,1,2,CC,2025_02_04_15_05_54_trial_1_CC,~14,Petri + electrodes,MCS
20250204,15:25,Pilot_GD_CC_TrGD_triangle_Day2_Block2_CC,GD,CC,GD_triangle,2,2,CC,2025_02_04_15_25_41_trial_1_CC,~14,Petri + electrodes,MCS
20250204,15:50,Pilot_GD-C_PC_TrCarolina_PC_Day1_Block1_PC,GD-C,PC,Carolina_PC,1,1,PC,2025_02_04_15_50_02_trial_1_PC,~18,Petri + electrodes,MCS
20250204,15:57,Pilot_GD-C_PC_TrCarolina_PC_Day1_Block2_PC,GD-C,PC,Carolina_PC,2,1,PC,2025_02_04_15_57_58_trial_1_PC,~18,Petri + electrodes,MCS
20250204,16:18,Pilot_GD-C_CC_TrCarolina_CC_Day1_Block1_CC,GD-C,CC,Carolina_CC,1,1,CC,2025_02_04_16_18_18_trial_1_CC,~12,Petri + electrodes,MCS
20250205,10:37,Pilot_GD_LO_TrPhenoTest_7_Day1_Block1_LO,GD,LO,PhenoTest_7,1,1,LO,2025_02_05_10_37_51_trial_1_LO,6,Milled + electrodes,MCS
20250205,11:52,Pilot_GD_LO_TrPhenoTest_8_Day1_Block1_LO,GD,LO,PhenoTest_8,1,1,LO,2025_02_05_11_52_28_trial_1_LO,6,Milled + electrodes,MCS
20250205,14:24,Pilot_GD_LO_TrPhenoTest_9_Day1_Block1_LO,GD,LO,PhenoTest_9,1,1,LO,2025_02_05_14_24_50_trial_1_LO,6,Milled + electrodes,MCS
20250206,9:50,Pilot_GD_CC_TrR1_Day1_Block1_LO,GD,CC,R1,1,1,LO,2025_02_06_09_50_08_trial_1_LO,,Milled + electrodes,MCS
20250206,10:10,Pilot_GD_CC_TrR1_Day1_Block2_LO,GD,CC,R1,2,1,LO,2025_02_06_10_10_12_trial_1_LO,,Milled + electrodes,MCS
20250206,10:31,Pilot_GD_CC_TrR1_Day1_Block3_CC,GD,CC,R1,3,1,CC,2025_02_06_10_31_37_trial_1_CC,,Milled + electrodes,MCS
20250206,10:51,Pilot_GD_CC_TrR1_Day1_Block4_CC,GD,CC,R1,4,1,CC,2025_02_06_10_51_47_trial_1_CC,,Milled + electrodes,MCS
20250206,12:02,Pilot_GD_PC_TrR2_Day1_Block1_LO,GD,PC,R2,1,1,LO,2025_02_06_12_02_28_trial_1_LO,,Milled + electrodes,MCS
20250206,12:22,Pilot_GD_PC_TrR2_Day1_Block2_LO,GD,PC,R2,2,1,LO,2025_02_06_12_22_35_trial_1_LO,,Milled + electrodes,MCS
20250206,12:42,Pilot_GD_PC_TrR2_Day1_Block3_PC,GD,PC,R2,3,1,PC,2025_02_06_12_42_27_trial_1_PC,,Milled + electrodes,MCS
20250206,13:01,Pilot_GD_PC_TrR2_Day1_Block4_PC,GD,PC,R2,4,1,PC,2025_02_06_13_01_53_trial_1_PC,,Milled + electrodes,MCS
20250206,14:05,Pilot_GD_CC_TrR3_Day1_Block1_LO,GD,CC,R3,1,1,LO,2025_02_06_14_05_11_trial_1_LO,,Milled + electrodes,MCS
20250206,14:29,Pilot_GD_CC_TrR3_Day1_Block2_LO,GD,CC,R3,2,1,LO,2025_02_06_14_29_30_trial_1_LO,,Milled + electrodes,MCS
20250206,14:50,Pilot_GD_CC_TrR3_Day1_Block3_CC,GD,CC,R3,3,1,CC,2025_02_06_14_50_42_trial_1_CC,,Milled + electrodes,MCS
20250206,15:10,Pilot_GD_CC_TrR3_Day1_Block4_CC,GD,CC,R3,4,1,CC,2025_02_06_15_10_13_trial_1_CC,,Milled + electrodes,MCS
20250206,16:12,Pilot_GD_PC_TrR4_Day1_Block1_LO,GD,PC,R4,1,1,LO,2025_02_06_16_12_21_trial_1_LO,,Milled + electrodes,MCS
20250206,16:31,Pilot_GD_PC_TrR4_Day1_Block2_LO,GD,PC,R4,2,1,LO,2025_02_06_16_31_42_trial_1_LO,,Milled + electrodes,MCS
20250206,16:50,Pilot_GD_PC_TrR4_Day1_Block3_PC,GD,PC,R4,3,1,PC,2025_02_06_16_50_44_trial_1_PC,,Milled + electrodes,MCS
20250206,17:08,Pilot_GD_PC_TrR4_Day1_Block4_PC,GD,PC,R4,4,1,PC,2025_02_06_17_08_51_trial_1_PC,,Milled + electrodes,MCS
20250207,8:21,Pilot_GD_CC_TrR1_Day2_Block1_CC,GD,CC,R1,1,2,CC,2025_02_07_08_21_35_trial_1_CC,,Milled + electrodes,MCS
20250207,8:40,Pilot_GD_CC_TrR1_Day2_Block2_CC,GD,CC,R1,2,2,CC,2025_02_07_08_40_53_trial_1_CC,,Milled + electrodes,MCS
20250207,9:01,Pilot_GD_CC_TrR1_Day2_Block3_CC,GD,CC,R1,3,2,CC,2025_02_07_09_01_04_trial_1_CC,,Milled + electrodes,MCS
20250207,10:11,Pilot_GD_PC_TrR2_Day2_Block1_PC,GD,PC,R2,1,2,PC,2025_02_07_10_11_16_trial_1_PC,,Milled + electrodes,MCS
20250207,10:32,Pilot_GD_PC_TrR2_Day2_Block2_PC,GD,PC,R2,2,2,PC,2025_02_07_10_32_33_trial_1_PC,,Milled + electrodes,MCS
20250207,10:53,Pilot_GD_PC_TrR2_Day2_Block3_PC,GD,PC,R2,3,2,PC,2025_02_07_10_53_45_trial_1_PC,,Milled + electrodes,MCS
20250207,12:02,Pilot_GD_CC_TrR3_Day2_Block1_CC,GD,CC,R3,1,2,CC,2025_02_07_12_02_32_trial_1_CC,,Milled + electrodes,MCS
20250207,12:24,Pilot_GD_CC_TrR3_Day2_Block2_CC,GD,CC,R3,2,2,CC,2025_02_07_12_24_09_trial_1_CC,,Milled + electrodes,MCS
20250207,12:45,Pilot_GD_CC_TrR3_Day2_Block3_CC,GD,CC,R3,3,2,CC,2025_02_07_12_45_21_trial_1_CC,,Milled + electrodes,MCS
20250207,14:00,Pilot_GD_PC_TrR4_Day2_Block1_PC,GD,PC,R4,1,2,PC,2025_02_07_14_00_59_trial_1_PC,,Milled + electrodes,MCS
20250207,14:21,Pilot_GD_PC_TrR4_Day2_Block2_PC,GD,PC,R4,2,2,PC,2025_02_07_14_21_03_trial_1_PC,,Milled + electrodes,MCS
20250207,14:41,Pilot_GD_PC_TrR4_Day2_Block3_PC,GD,PC,R4,3,2,PC,2025_02_07_14_41_05_trial_1_PC,,Milled + electrodes,MCS
20250210,8:52,Pilot_GD_CC_TrR5_Day1_Block1_LO,GD,CC,R5,1,1,LO,2025_02_10_08_52_38_trial_1_LO,,Milled + electrodes,
20250210,9:12,Pilot_GD_CC_TrR5_Day1_Block2_LO,GD,CC,R5,2,1,LO,2025_02_10_09_12_14_trial_1_LO,,Milled + electrodes,
20250210,9:31,Pilot_GD_CC_TrR5_Day1_Block3_CC,GD,CC,R5,3,1,CC,2025_02_10_09_31_36_trial_1_CC,,Milled + electrodes,
20250210,9:51,Pilot_GD_CC_TrR5_Day1_Block4_CC,GD,CC,R5,4,1,CC,2025_02_10_09_51_25_trial_1_CC,,Milled + electrodes,
20250210,11:27,Pilot_GD_PC_TrR6_Day1_Block1_LO,GD,PC,R6,1,1,LO,2025_02_10_11_27_16_trial_1_LO,,Milled + electrodes,
20250210,11:49,Pilot_GD_PC_TrR6_Day1_Block2_LO,GD,PC,R6,2,1,LO,2025_02_10_11_49_17_trial_1_LO,,Milled + electrodes,
20250210,12:10,Pilot_GD_PC_TrR6_Day1_Block3_PC,GD,PC,R6,3,1,PC,2025_02_10_12_10_52_trial_1_PC and 2025_02_10_12_17_35_trial_1_PC,,Milled + electrodes,
20250210,12:38,Pilot_GD_PC_TrR6_Day1_Block4_PC,GD,PC,R6,4,1,PC,2025_02_10_12_38_45_trial_1_PC and 2025_02_10_12_45_15_trial_1_PC,,Milled + electrodes,
20250210,13:57,Pilot_GD_CC_TrR1_Day3_Block1_CC,GD,CC,R1,1,3,CC,2025_02_10_13_57_14_trial_1_CC,,Milled + electrodes,
20250210,14:17,Pilot_GD_CC_TrR1_Day3_Block2_CC,GD,CC,R1,2,3,CC,2025_02_10_14_17_32_trial_1_CC,,Milled + electrodes,
20250210,13:38,Pilot_GD_CC_TrR1_Day3_Block3_CC,GD,CC,R1,3,3,CC,2025_02_10_14_38_15_trial_1_CC,,Milled + electrodes,
20250210,15:40,Pilot_GD_PC_TrR2_Day3_Block1_PC,GD,PC,R2,1,3,PC,2025_02_10_15_40_08_trial_1_PC,,Milled + electrodes,
20250210,16:00,Pilot_GD_PC_TrR2_Day3_Block2_PC,GD,PC,R2,2,3,PC,2025_02_10_16_00_26_trial_1_PC,,Milled + electrodes,
20250210,16:20,Pilot_GD_PC_TrR2_Day3_Block3_PC,GD,PC,R2,3,3,PC,2025_02_10_16_20_52_trial_1_PC,,Milled + electrodes,
20250211,9:24,Pilot_GD_CC_TrR5_Day2_Block1_CC,GD,CC,R5,1,2,CC,2025_02_11_09_24_36_trial_1_CC,,Milled + electrodes,
20250211,9:43,Pilot_GD_CC_TrR5_Day2_Block2_CC,GD,CC,R5,2,2,CC,2025_02_11_09_43_18_trial_1_CC,,Milled + electrodes,
20250211,10:03,Pilot_GD_CC_TrR5_Day2_Block3_CC,GD,CC,R5,3,2,CC,2025_02_11_10_03_28_trial_1_CC,,Milled + electrodes,
20250324,15:06,Montjuic pulse - UV (0.05 motor),SM-1,CC,SM_PULSEUV,4,1,CC,2025_03_24_15_06_44_trial_1_CC,,,
20250324,15:42,Montjuic pulse - UV (0.05 motor),SM-1,CC,SM_PULSEUV,5,1,CC,2025_03_24_15_42_23_trial_1_CC,,,
20250325,9:21,Montjuic pulse - UV (0.05 motor),SM-1,CC,SM_PULSEUV,7,2,CC,2025_03_25_09_21_19_trial_1_CC,,,
20250325,14:32,GD lowUV-shock CC,GD-2,CC,GD_test_1,1,1,CC,2025_03_28_14_32_31_trial_1_CC,,,
20250328,16:18,GD lowUV-shock CC,GD-2,CC,GD_test_1,2,1,CC,2025_03_28_16_18_08_trial_1_CC,,,
20250331,8:21,GD lowUV-shock CC,GD-2,CC,GD_test_1,3,2,CC,2025_03_31_08_21_52_trial_1_CC,,,
