Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Acceptable_Hellish_Remark/,,4,"51,187,203,212",1,51,
Video_Anxious_Peaceful_Grip/,,4,"41,67,74,95",1,74,
Video_Concerned_Hesitant_Slider/,,1,5,1,5,
Video_Craven_Creepy_Gram/,,1,160,0,,
Video_Cruel_Uttermost_Gorilla/,,2,"172,194",0,,
Video_Festive_Giddy_Secretion/,,4,"36,55,207,228",1,55,
Video_Freezing_Abundant_Planning/,,4,"47,106,168,231",0,,
Video_Gruesome_Little_Waterfront/,,3,"56,137,269",0,,
Video_Historical_Literate_Seafood/,,10,"131,153,172,177,185,000,000,000,000,000",3,"125,172,241",
Video_Hollow_Didactic_Info/,,0,,0,,
Video_Marked_Fast_Soap/,,2,"74,251",0,,
Video_Null_Narrow_Vibrissae/,,0,,0,,
Video_Overt_Perpetual_Heartwood/,,6,"28,66,86,98,189,224",1,95,
Video_Rainy_Numberless_River/,,3,"15,126,142",0,,
Video_Solid_Jumpy_Adapter/,,4,"34,87,119,206",0,,
Video_Tiny_Screeching_Fender/,,0,,0,,
Video_Whispering_Aquatic_Walker/,,3,"38,192,268",0,,
Video_Abhorrent_Silly_Well/,,7,"35,47,77,191,210,234,261",1,35,
Video_Abhorrent_Unusual_Scraper/,,6,"2,22,81,182,204,216,266",2,"47,81",
Video_Aboard_Ambitious_Pennant/,,1,164,1,164,
Video_Abounding_Momentous_Sundae/,,1,40,0,,
Video_Absent_Groovy_Canvas/,,0,,0,,
Video_Absorbing_Thundering_Gaffe/,,2,"80,177",0,,
Video_Acrid_Chunky_Gravel/,,2,"120,171",0,,
Video_Adjoining_Calm_Biopsy/,,0,,1,86,
Video_Aggressive_Pastoral_Policy/,,1,272,1,272,
Video_Agreeable_Childlike_Fertilizer/,,3,"45,105,184",0,,
Video_Alcoholic_Vague_Carabao/,,0,,0,,
Video_Amused_Uptight_Butter/,,5,"74,121,159,229,255",2,"74,110",
Video_Ancient_Apathetic_Subgroup/,,2,"73,203",0,,
Video_Apathetic_Placid_Acorn/,,2,"65,100",0,,
Video_Ashamed_Rapid_Monitor/,,2,"130,215",0,,
Video_Bashful_Vigorous_Barn/,,1,25,0,,
Video_Bewildered_Poised_Soap/,,0,,2,"38,115",
Video_Big_Flashy_Depot/,,2,"76,119",1,119,
Video_Black_Slimy_Steam/,,4,"71,81,132,228",4,"81,197,218,228",
Video_Bored_Flowery_Voyage/,,1,59,0,,
Video_Boundless_Vengeful_Dog/,,3,"15,40,132",2,"113,253",
Video_Bumpy_Youthful_Hearthside/,,0,,0,,
Video_Ceaseless_Panoramic_Dip/,,2,"249,264",0,,
Video_Chilly_Irate_Disease/,,6,"49,55,96,120,175,264",2,"45,62",
Video_Clear_Shocking_Tenet/,,6,"21,94,115,153,164,271",1,94,
Video_Colorful_Wistful_Cargo/,,3,"193,200,206",1,206,
Video_Curved_Dangerous_Fender/,,0,,0,,
Video_Daffy_Hissing_Waterfront/,,1,55,0,,
Video_Damaging_Boring_Dealing/,,4,"72,127,169,224",0,,
