Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Aberrant_Many_Radiator/,,3,"68,122,191",2,"88,191","For this two-headed worm, any contraction of head counts. What a weird thing to have to specify lol. The two heads seem to fight with each other (comma) apparently causing a lot of jerky movements or turns that are hard to classify"
Video_Abiding_Crooked_Word/,,1,177,0,,
Video_Abnormal_Selective_Planning/,,2,"242,260",1,242,
Video_Abrasive_Onerous_Cemetery/,,2,"216,272",0,,
Video_Absorbing_Weak_Wardrobe/,,0,,1,22,Holy fuck this worm is HUGE
Video_Abstracted_Obsolete_Piccolo/,,1,241,0,,
Video_Abusive_Tawdry_Drunk/,,6,"15,29,90,159,201,208",1,192,
Video_Acceptable_Humdrum_Coyote/,,2,"22,43",0,,
Video_Acceptable_Quiet_Pattern/,,3,"159,206,223",0,,
Video_Accurate_Blue_Balloonist/,,0,,1,32,
Video_Accurate_Mere_Gosling/,,1,167,0,,
Video_Adjoining_Average_Pillow/,,1,259,0,,
Video_Alive_Receptive_Earmuffs/,,0,,1,244,very important to not know which troupe Janus belongs to
Video_Alleged_Earthy_Workout/,,7,"11,31,54,90,103,135,203",0,,
Video_Animated_Changeable_Butcher/,,1,271,0,,
Video_Aquatic_Stormy_Tentacle/,,1,92,0,,This is an act against god
Video_Arrogant_Lively_Port/,,0,,0,,
Video_Auspicious_Narrow_Zinc/,,0,,0,,
Video_Aware_Different_Rainbow/,,2,"24,61",1,69,
Video_Awful_Blue_Coffee/,,2,"57,243",2,"239,272",
Video_Awful_Handsome_Redhead/,,5,"55,119,159,197,256",0,,
Video_Axiomatic_Tawdry_Swanling/,,1,27,0,,"The last 2 frames of this have obvious shock contractions. Hence, I'm only counting behaviors in frame 0-270 because like can't count those yall"
Video_Better_Grieving_Butcher/,,3,"11,58,217",0,,
Video_Better_Vivacious_Earthquake/,,0,,0,,
Video_Bored_Better_Seafood/,,1,245,0,,
Video_Bright_Miniature_Dialect/,,0,,0,,
Video_Burly_Unable_Senator/,,3,"126,159,170",1,169,
Video_Cagey_Addicted_Staircase/,,0,,0,,
Video_Callous_Spotless_Message/,,2,"131,213",0,,
Video_Ceaseless_Plain_Graffiti/,,0,,0,,
Video_Cheerful_Selective_Thinking/,,3,"8,52,159",0,,
Video_Chilly_Adamant_Parameter/,,4,"113,182,198,223",0,,Bizarre peristaltic behavior that I do not count as contractions
Video_Chivalrous_Cuddly_Survivor/,,7,"23,41,71,123,156,191,205",1,71,
Video_Clean_Fair_Tenet/,,0,,0,,
Video_Clever_Ragged_Thermostat/,,1,161,0,,
Video_Clumsy_Awful_Invasion/,,3,"150,200,244",5,"5,46,88,110,199",Yabba dabba doo movement (comma) I do count it as contractions
Video_Concerned_Lyrical_Cultivator/,,4,"19,52,143,177",1,143,
Video_Cool_Selective_Flour/,,1,237,0,,
Video_Craven_Subsequent_Futon/,,1,62,0,,
Video_Craven_Ugly_Banquette/,,2,"42,195",0,,
Video_Credible_Meek_Screw/,,1,55,0,,
Video_Credible_Productive_Duckling/,,3,"51,127,169",0,,
Video_Creepy_Neighborly_Craftsman/,,5,"56,151,197,230,240",0,,
Video_Crowded_Cloistered_Transition/,,2,"153,190",0,,
Video_Crowded_Measly_Ambassador/,,2,"136,240",0,,
Video_Cruel_Sweltering_Jellyfish/,,2,"126,152",1,126,
Video_Curved_Educated_Staircase/,,0,,0,,
Video_Daily_Smooth_Sorghum/,,6,"51,80,140,177,193,214",3,"51,80,177",
Video_Damaged_Young_Fledgling/,,3,"132,167,195",2,"144,194",
Video_Dangerous_Makeshift_Bunghole/,,2,"84,188",0,,Another worm races by on the rim lol
Video_Dazzling_Thoughtful_Doubling/,,2,"141,162",0,,
Video_Deadpan_Optimal_Magic/,,2,"18,86",0,,
Video_Defeated_Ruthless_Walker/,,0,,0,,
Video_Delightful_Picayune_Casino/,,0,,0,,
Video_Depressed_Tacky_Sigh/,,5,"77,97,119,128,210",0,,
Video_Deserted_Handsome_Input/,,2,"139,191",1,193,
Video_Deserted_Rich_Secretion/,,3,"122,191,222",1,195,
Video_Determined_Bloody_Yard/,,3,"4,85,128",3,"55,79,128",
Video_Discreet_Large_Love/,,5,"26,50,79,102,135",4,"27,49,102,130",
Video_Discreet_Unadvised_Bellows/,,0,,0,,
Video_Distinct_Woebegone_Broadcast/,,1,243,0,,
Video_Disturbed_Alleged_Corridor/,,4,"28,74,111,213",0,,
Video_Eager_Disgusted_Incubation/,,2,"16,253",0,,
Video_Early_Rough_Tailor/,,2,"128,154",1,153,
Video_Economic_Pretty_Blood/,,2,"27,126",1,127,Subtle as always
Video_Elderly_Wicked_Ridge/,,2,"94,147",0,,
Video_Elite_Gullible_Trafficker/,,3,"6,123,144",0,,
Video_Erratic_Deeply_Visit/,,7,"6,18,82,142,198,229,266",1,6,
Video_Erratic_Lacking_Thigh/,,3,"23,65,196",0,,
Video_Evanescent_Ubiquitous_Message/,,1,131,0,,
Video_Faint_Sad_Pepper/,,0,,0,,
Video_Famous_Grouchy_Tube/,,0,,0,,
Video_Fanatical_Nice_Nasal/,,1,38,0,,
Video_Fanatical_Spotless_Hammer/,,4,"64,95,109,157",1,109,
Video_Fascinated_Quick_Dragster/,,2,"40,75",2,"40,75",
Video_Fascinated_Redundant_Porpoise/,,0,,2,"228,260",
Video_Fast_Gifted_Survivor/,,1,62,1,55,
Video_Faulty_Icky_Burden/,,6,"9,38,154,164,221,223",1,143,
Video_Fertile_Tenuous_Blame/,,1,150,0,,
Video_Fierce_Unarmed_Titanium/,,1,116,0,,
Video_Finicky_Aggressive_Razor/,,2,"19,211",2,"18,211",
Video_Finicky_Graceful_Sheep/,,0,,0,,
Video_Flagrant_Various_Jewellery/,,1,82,0,,
