Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Aback_Madly_Licorice/,,3,"102,150,254",0,,
Video_Aberrant_Straight_Licensing/,,5,"8,35,65,77,203",1,8,
Video_Abiding_Judicious_Helium/,,1,85,0,,
Video_Abiding_Languid_Torso/,,0,,0,,
Video_Abortive_Bright_Zinc/,,0,,0,,
Video_Abounding_Trite_Probation/,,1,82,0,,
Video_Abrasive_Waggish_Thief/,,0,,0,,
Video_Absent_Truculent_Center/,,1,169,1,169,
Video_Absorbed_Oval_Fahrenheit/,,2,"14,157",0,,
Video_Absorbing_Draconian_Composite/,,2,"178,243",0,,
Video_Absorbing_Flashy_Message/,,0,,0,,
Video_Abstracted_Adjoining_Transition/,,1,246,1,246,
Video_Abstracted_Equable_Planula/,,0,,0,,
Video_Abundant_Scary_Suede/,,0,,0,,
Video_Accidental_Loving_Turnip/,,0,,0,,
Video_Accurate_Colossal_Census/,,1,161,1,161,
Video_Adamant_Ragged_Bucket/,,3,"162,180,237",0,,
Video_Adorable_Mundane_Beginner/,,1,97,0,,
Video_Ahead_Meek_Disclosure/,,5,"9,64,96,207,226",0,,
Video_Alcoholic_Majestic_Summary/,,1,258,1,258,
Video_Alike_Stale_Planula/,,0,,1,195,
Video_Alleged_Defective_Ecliptic/,,0,,1,113,
Video_Alleged_Fine_Energy/,,1,209,1,209,
Video_Aloof_Green_Replica/,,3,"62,81,114",0,,
Video_Aloof_Willing_Casino/,,0,,1,152,Big ass worm
Video_Ambiguous_Jolly_Authority/,,1,254,0,,
Video_Amuck_Deadpan_Thrill/,,3,"137,190,254",1,207,
Video_Angry_Pastoral_Exception/,,2,"108,227",0,,
Video_Animated_New_Threat/,,3,"51,116,187",0,,
Video_Annoyed_Faint_Apron/,,0,,0,,
Video_Ashamed_Animated_Melon/,,4,"25,40,50,126",0,,
Video_Average_Noxious_Gravel/,,0,,0,,
Video_Axiomatic_Voiceless_Dividend/,,1,108,0,,
Video_Bad_Abhorrent_Invitation/,,1,140,1,184,
Video_Bad_Rare_Keep/,,0,,0,,
Video_Barbarous_Joyous_Odyssey/,,1,22,0,,
Video_Bashful_Colossal_Cement/,,0,,0,,
Video_Bawdy_Jumpy_Dancer/,,1,33,1,33,
Video_Bawdy_Naive_Draw/,,3,"77,92,201",0,,
Video_Beautiful_Painful_Bias/,,1,168,0,,
Video_Berserk_Lovely_Middleman/,,0,,1,229,
Video_Bewildered_Aboard_Fender/,,1,31,0,,
Video_Billowy_Grouchy_Fiction/,,1,142,0,,
Video_Billowy_Robust_Fen/,,3,"160,198,210",1,210,
Video_Black_Finicky_Grip/,,2,"67,191",1,67,
Video_Black_Hulking_Van/,,7,"17,34,44,58,118,140,228",2,"17,118",
Video_Blue_Adhesive_Impudence/,,0,,0,,
Video_Blue_Unbiased_Liquid/,,4,"59,141,168,223",1,168,
Video_Boiling_Wanting_Pat/,,0,,0,,
Video_Boorish_Ceaseless_Jewellery/,,0,,0,,
Video_Boorish_Stingy_Coyote/,,8,"14,31,65,100,147,170,236,271",2,"14,65",
Video_Boorish_Tacky_Walker/,,0,,0,,
Video_Boring_Ill_Pump/,,0,,0,,
Video_Brash_Voracious_Gram/,,2,"173,272",0,,
Video_Burly_Ratty_Warning/,,1,246,0,,2 worms in here; same single turn for each thankfully
Video_Calm_Handsomely_Price/,,2,"18,68",1,68,
Video_Careful_Dry_Waveform/,,3,"4,21,269",1,263,
Video_Cautious_Honorable_Chaos/,,6,"13,43,89,133,164,268",1,272,
Video_Chivalrous_Heavenly_Expose/,,1,43,0,,
Video_Chivalrous_Homeless_Hockey/,,1,182,0,,
Video_Chubby_Mute_Alfalfa/,,1,223,1,223,
Video_Chunky_Uttermost_Biopsy/,,1,10,0,,
Video_Classy_Habitual_Vengeance/,,0,,0,,
Video_Classy_Hysterical_Aspect/,,0,,0,,
Video_Clever_Moaning_Menu/,,2,"113,227",2,"113,146",
Video_Cloistered_Vast_Pattern/,,3,"55,87,246",0,,
Video_Cloudy_Enchanting_Agony/,,0,,0,,
Video_Coherent_Fortunate_Inbox/,,1,29,0,,
Video_Colossal_Guiltless_Shout/,,3,"94,115,171",1,171,
Video_Combative_Painful_Examiner/,,0,,0,,
Video_Concerned_Ahead_Brace/,,0,,0,,
Video_Concerned_Helpless_Slash/,,1,46,1,47,
Video_Concerned_Mysterious_Conviction/,,0,,0,,
Video_Concerned_Tall_Orient/,,2,"109,160",0,,
Video_Cool_Silent_Inside/,,2,"144,160",0,,
Video_Cowardly_Annoying_Risk/,,3,"133,183,199",0,,
Video_Crabby_Jittery_Sample/,,0,,0,,
Video_Craven_Hilarious_Dungeon/,,3,"30,192,231",0,,
Video_Craven_Weary_Bra/,,5,"77,91,119,141,253",1,33,
Video_Crazy_Direful_Myth/,,0,,0,,
Video_Crowded_Noxious_Risk/,,0,,0,,
Video_Curious_Overt_Adapter/,,1,225,1,184,
Video_Curious_Venomous_Trafficker/,,0,,0,,
Video_Curious_Vigorous_Twilight/,,1,91,1,90,
Video_Curly_Evasive_Pattern/,,3,"32,183,213",1,213,
Video_Curly_Zippy_Exhibition/,,7,"65,113,134,152,187,226,248",0,,
Video_Curved_Colossal_Jellybeans/,,0,,0,,
Video_Cute_Obedient_Cargo/,,1,97,0,,
Video_Daffy_Confused_Bongo/,,0,,0,,
Video_Daily_Receptive_Craftsman/,,3,"176,211,268",0,,
Video_Dazzling_Victorious_Pattern/,,1,140,0,,
Video_Dead_Longing_Magic/,,2,"89,108",0,,
Video_Debonair_Jumbled_Sundae/,,0,,0,,
Video_Deep_Devilish_Emery/,,4,"44,80,214,238",1,238,
Video_Deep_Frail_Chuck/,,2,"77,207",0,,
Video_Defective_Exultant_Boudoir/,,2,"37,129",0,,
Video_Defective_Nonchalant_Assistance/,,4,"64,166,221,257",0,,
Video_Defective_Parched_Minister/,,1,175,1,153,
Video_Defective_Shiny_Lane/,,0,,0,,
Video_Delicious_Wry_Inbox/,,5,"33,52,67,146,253",0,,
Video_Delightful_Mere_Lie/,,2,"12,244",0,,
Video_Depressed_Beautiful_Coast/,,1,213,0,,
Video_Deranged_Oval_Metronome/,,0,,0,,
Video_Detailed_Deranged_Shofar/,,4,"12,66,83,144",2,"12,167",
Video_Direful_Fascinated_Exhibition/,,1,253,0,,
Video_Dirty_Cruel_Overshoot/,,0,,0,,
Video_Dirty_Onerous_Cargo/,,2,"54,130",2,"54,130",
Video_Discreet_Sweltering_Trowel/,,2,"110,136",0,,
Video_Distinct_Guarded_Egg/,,1,69,1,59,
Video_Distinct_Sleepy_Vengeance/,,2,"137,203",0,,
Video_Disturbed_Unarmed_Inquiry/,,3,"51,91,101",0,,
Video_Doubtful_Gabby_Pants/,,2,"47,142",1,142,
Video_Dramatic_Aware_Presume/,,0,,0,,
Video_Dramatic_Minor_Dad/,,0,,0,,
Video_Early_Numerous_Hiking/,,0,,1,37,
Video_Earthy_Gleaming_Screen/,,2,"219,247",0,,
Video_Educated_Acceptable_Zen/,,1,77,0,,
Video_Educated_Decisive_Icing/,,2,"66,175",3,"17,34,197",
Video_Educated_Tawdry_Slash/,,0,,0,,
Video_Efficient_Knotty_Spasm/,,0,,0,,
Video_Efficient_Tangible_Odyssey/,,3,"84,237,255",0,,
Video_Elated_Brainy_Affidavit/,,3,"213,243,258",1,211,
Video_Elite_Mighty_Norm/,,0,,0,,
Video_Empty_Flaky_History/,,3,"43,72,195",0,,
Video_Erratic_Drab_Clause/,,0,,0,,
Video_Erratic_Young_Crisis/,,0,,0,,
Video_Ethereal_Classy_Dog/,,2,"16,248",0,,
Video_Excellent_Gabby_Drawer/,,0,,0,,
Video_Faded_Sad_Analogue/,,2,"173,204",0,,
Video_Faded_Unequaled_Spark/,,0,,0,,
Video_Faint_Tangible_Nibble/,,0,,0,,
Video_Fallacious_Woozy_Pianist/,,7,"42,87,117,140,155,191,214",0,,
Video_Fanatical_Bawdy_Mustard/,,0,,0,,
Video_Fascinated_Credible_Nectar/,,3,"50,65,180",0,,
Video_Fascinated_Low_Killing/,,1,33,1,33,
Video_Fascinated_Weary_Gopher/,,5,"18,49,84,120,155",1,155,
Video_Fat_Wasteful_Leading/,,0,,0,,
Video_Faulty_Evanescent_Elf/,,2,"88,123",0,,
Video_Faulty_Loose_Spark/,,1,15,2,"15,170",
Video_Faulty_Poised_Shoestring/,,4,"94,181,211,239",0,,
Video_Fertile_Romantic_Mobility/,,0,,0,,
Video_Fine_Horrible_Cascade/,,2,"143,160",0,,
Video_Fine_Icy_Ladybug/,,2,"9,250",0,,
Video_Finicky_Narrow_Kilometer/,,2,"48,112",1,50,
Video_Flaky_Graceful_Throat/,,1,211,0,,
Video_Foamy_Hollow_Proximal/,,0,,0,,
Video_Foregoing_Unusual_Remark/,,2,"63,260",0,,
Video_Forgetful_Minor_Tailor/,,2,"171,235",0,,
Video_Fortunate_Billowy_Birch/,,4,"23,45,111,169",0,,
Video_Freezing_Panicky_Working/,,2,"235,271",0,,
Video_Fretful_Loving_Beancurd/,,4,"8,27,219,262",0,,
Video_Friendly_Daffy_Bath/,,2,"43,176",0,,
Video_Functional_Detailed_Census/,,6,"83,102,165,220,241,259",1,164,
Video_Funny_Workable_Subgroup/,,3,"44,144,219",0,,
Video_Furtive_Discreet_Gravel/,,0,,0,,
Video_Furtive_Slimy_Mustard/,,2,"18,263",0,,
Video_Fuzzy_Utter_Decimal/,,1,10,1,46,
Video_Gabby_Round_Planula/,,1,261,1,260,
Video_Gainful_Squalid_Gosling/,,2,"74,178",1,238,
Video_Gamy_Lush_Gun/,,3,"130,151,263",0,,
Video_Garrulous_Hysterical_Pass/,,1,145,0,,
Video_Giant_Supreme_Human/,,4,"57,146,187,215",0,,
Video_Glamorous_Dusty_Dancer/,,2,"123,190",0,,
Video_Glamorous_Half_Vengeance/,,1,61,0,,
Video_Gleaming_Historical_Forgery/,,2,"147,230",0,,
Video_Glib_Nutritious_Dashboard/,,2,"106,223",1,56,
Video_Godly_Straight_Welfare/,,3,"110,126,144",4,"30,47,70,162",
Video_Graceful_Cynical_Maggot/,,2,"158,184",1,185,
Video_Grandiose_Hapless_Licorice/,,4,"43,128,164,255",2,"44,128",
Video_Grandiose_Sharp_Armoire/,,3,"175,185,202",0,,
Video_Greasy_Abstracted_Salt/,,0,,0,,
Video_Greedy_Lazy_Cascade/,,1,16,0,,
Video_Gruesome_Grubby_Egg/,,4,"34,54,98,187",2,"36,98",
Video_Guttural_Null_Lizard/,,0,,0,,
Video_Handsomely_Profuse_Hammock/,,1,259,0,,
Video_Handsomely_Square_Pennant/,,6,"11,124,164,178,209,243",2,"178,245",
Video_Hapless_Elegant_Trouble/,,0,,0,,
Video_Harmonious_Flashy_Summary/,,1,250,0,,
Video_Healthy_Functional_Stew/,,1,172,0,,
Video_Hesitant_Purple_Sorghum/,,1,166,0,,
Video_Hissing_Garrulous_Gymnastics/,,3,"159,200,235",0,,
Video_Hollow_Puffy_View/,,2,"204,224",0,,
Video_Homely_Soft_Icebreaker/,,0,,0,,
Video_Honorable_Noiseless_Proctor/,,6,"26,47,98,159,219,251",2,"99,159",
Video_Hulking_Precious_Hello/,,4,"12,42,65,205",0,,
Video_Hurried_Workable_Lock/,,1,32,0,,
Video_Hurt_Unequaled_Secrecy/,,4,"8,65,89,187",0,,
Video_Hysterical_Laughable_Editorial/,,3,"74,141,253",3,"41,74,253",
Video_Icky_Receptive_Hospice/,,0,,0,,
Video_Ignorant_Supreme_Capacity/,,3,"40,85,239",0,,
Video_Ill_Nervous_Guess/,,2,"139,264",0,,
Video_Ill_Tenuous_Mailbox/,,0,,0,,
Video_Immense_Stale_Rostrum/,,2,"40,120",0,,
Video_Immense_Tired_Hive/,,2,"16,42",0,,
Video_Imminent_Swanky_Dulcimer/,,7,"6,71,89,133,193,238,267",0,,
Video_Imminent_Unsightly_Chuck/,,1,31,0,,
Video_Imported_Creepy_Line/,,1,74,0,,
Video_Impossible_Naughty_Dessert/,,1,50,1,50,
Video_Irate_Upset_Canvas/,,2,"191,234",0,,
Video_Jealous_Gabby_Clause/,,0,,0,,
Video_Jealous_Parched_Analog/,,1,96,0,,
Video_Jittery_Functional_Playroom/,,1,204,0,,
Video_Jobless_Graceful_Memo/,,0,,0,,
Video_Joyous_Determined_Nick/,,1,183,0,,
Video_Joyous_Overrated_Acorn/,,2,"17,62",1,17,
Video_Joyous_Silly_Trap/,,0,,0,,
Video_Juicy_Tangible_Leisure/,,0,,0,,
Video_Jumpy_Steep_Flick/,,4,"111,134,156,169",0,,
Video_Juvenile_Skinny_Hurdle/,,1,23,0,,
Video_Kaput_Evil_Policy/,,2,"228,272",1,23,
Video_Knowing_Habitual_Seafood/,,3,"48,136,185",0,,
Video_Lacking_Short_Rug/,,0,,0,,
Video_Lamentable_Pointless_Pattern/,,0,,0,,
Video_Languid_Evil_Shred/,,1,77,1,77,
Video_Late_Sincere_Terrorist/,,2,"70,112",0,,
Video_Late_Tough_Enactment/,,0,,1,93,
Video_Laughable_Lively_Hundred/,,1,108,0,,
Video_Laughable_Moldy_Briefly/,,2,"21,50",0,,
Video_Lazy_Harmonious_Nudge/,,1,174,1,174,
Video_Lazy_Woebegone_Peace/,,2,"53,90",0,,
Video_Level_Shrill_Antler/,,2,"59,161",0,,
Video_Little_Coherent_Clamp/,,2,"16,167",0,,
Video_Lively_Elite_Brood/,,1,131,0,,
Video_Lonely_Quiet_Nest/,,1,110,1,164,
Video_Long_Black_Inventor/,,3,"27,100,227",2,"138,169",God knows how to describe this one
Video_Longing_Drab_Hello/,,1,57,1,57,
Video_Lopsided_Periodic_Mango/,,2,"29,85",9,"9,61,126,170,186,200,214,254,272",Scrunch movement behavior and did call it contractions
Video_Loutish_Versed_Inquiry/,,1,208,0,,
Video_Lovely_Productive_Burden/,,1,39,0,,
Video_Low_Salty_Alpaca/,,3,"55,201,254",0,,
Video_Lucky_Wasteful_Die/,,3,"70,118,243",1,118,
Video_Ludicrous_Worthless_Keep/,,1,186,11,"16,30,52,67,84,98,110,128,146,165,186",Scrunch behavior and did count as contraction
