Video,Event_Type,Total_Unique_Events,S1S2S3,Unanimity_Rate,S1_Raw,S2_Raw,S3_Raw
Ahead_Tasty_Chicory,Turns,3,0,0.0,2,1,0
Abhorrent_Jittery_Trap,Turns,6,2,0.3333333333333333,5,5,2
Aback_Gentle_Deduce,Turns,3,0,0.0,2,1,1
Aback_Gentle_Deduce,Contractions,2,1,0.5,2,1,1
Abounding_Wholesale_Van,Turns,4,2,0.5,4,4,2
Absorbed_Muddled_Chaos,Turns,3,0,0.0,2,2,0
Absorbed_Muddled_Chaos,Contractions,1,1,1.0,1,1,1
Agonizing_Round_Planning,Turns,3,0,0.0,3,2,0
Agonizing_Round_Planning,Contractions,4,1,0.25,3,2,2
Agreeable_Ill_Butcher,Turns,3,0,0.0,2,2,0
Agreeable_Ill_Butcher,Contractions,1,1,1.0,1,1,1
Alcoholic_Silky_Curler,Turns,3,1,0.3333333333333333,3,1,2
Alcoholic_Silky_Curler,Contractions,1,1,1.0,1,1,1
Arrogant_Quiet_Hive,Turns,4,0,0.0,3,1,1
Awful_Early_Agony,Turns,2,1,0.5,2,1,1
Awful_Early_Agony,Contractions,1,1,1.0,1,1,1
Somber_Soft_Dancer,Turns,12,1,0.08333333333333333,9,5,3
Somber_Soft_Dancer,Contractions,2,2,1.0,2,2,2
Bloody_Nasty_Love,Turns,2,1,0.5,2,1,1
Big_Blue_Statue,Turns,9,1,0.1111111111111111,5,3,3
Big_Blue_Statue,Contractions,1,0,0.0,1,0,1
Big_Endurable_Breakpoint,Turns,4,1,0.25,3,1,2
Boorish_Afraid_Dissonance,Turns,5,0,0.0,3,3,2
Boorish_Afraid_Dissonance,Contractions,1,1,1.0,1,1,1
Boring_Sleepy_Chopsticks,Contractions,2,1,0.5,1,1,2
Brainy_Macabre_Gathering,Turns,8,1,0.125,7,1,5
Brainy_Macabre_Gathering,Contractions,2,1,0.5,2,1,2
Bright_Plain_Bias,Turns,5,0,0.0,3,2,1
Bright_Plain_Bias,Contractions,1,1,1.0,1,1,1
Bumpy_Greedy_Accord,Contractions,1,1,1.0,1,1,1
Busy_Lavish_Snob,Turns,3,0,0.0,2,1,1
Busy_Lavish_Snob,Contractions,2,0,0.0,0,1,2
Clean_Unsightly_Injury,Turns,5,1,0.2,5,3,1
Cloistered_Dazzling_Pail,Turns,6,0,0.0,4,1,2
Combative_Available_Context,Turns,2,0,0.0,1,1,0
Combative_Available_Context,Contractions,1,0,0.0,1,0,1
Concerned_Understood_Egg,Turns,4,0,0.0,2,1,2
Confused_Magenta_Mutt,Turns,2,1,0.5,2,1,1
Curious_Motionless_Waiter,Turns,5,1,0.2,4,3,1
Curious_Motionless_Waiter,Contractions,2,1,0.5,1,2,2
Defeated_Joyous_Hundred,Turns,2,0,0.0,1,1,0
Defeated_Joyous_Hundred,Contractions,8,0,0.0,6,7,1
Deserted_Scientific_Cub,Turns,3,0,0.0,3,2,0
Deserted_Scientific_Cub,Contractions,1,0,0.0,1,1,0
Didactic_Spiffy_Ketchup,Turns,7,1,0.14285714285714285,5,3,3
Difficult_Lovely_Marker,Contractions,2,0,0.0,1,1,0
Disturbed_Merciful_Bolero,Turns,7,0,0.0,4,3,2
Dry_Pleasant_Slash,Turns,10,0,0.0,6,4,3
Dry_Pleasant_Slash,Contractions,1,1,1.0,1,1,1
Educated_Illegal_Coast,Turns,7,1,0.14285714285714285,5,2,3
Educated_Illegal_Coast,Contractions,4,1,0.25,2,3,2
Elderly_Great_Tractor,Turns,3,0,0.0,1,3,0
Eminent_Cute_Sound,Turns,3,1,0.3333333333333333,2,2,2
Enchanting_Racial_Total,Turns,6,0,0.0,4,3,2
Energetic_Gainful_Footnote,Turns,3,1,0.3333333333333333,3,2,1
Energetic_Little_Carry,Turns,6,1,0.16666666666666666,4,3,3
