Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Aback_Gentle_Deduce/,,1,127,1,141,
Video_Abhorrent_Jittery_Trap/,,5,"89,110,133,195,269",0,,
Video_Abounding_Wholesale_Van/,,4,"48,62,84,196",0,,
Video_Absorbed_Muddled_Chaos/,,2,"90,120",1,146,
Video_Accessible_Fallacious_Viscose/,,4,"80,188,213,271",1,273,
Video_Agonizing_Round_Planning/,,2,"140,251",2,"163,200",
Video_Agreeable_Ill_Butcher/,,2,"193,260",1,193,
Video_Ahead_Tasty_Chicory/,,1,241,0,,
Video_Alcoholic_Silky_Curler/,,1,70,1,100,
Video_Arrogant_Quiet_Hive/,,1,189,0,,
Video_Awful_Early_Agony/,,1,95,1,80,
Video_Bad_Strange_Peasant/,,0,,0,,
Video_Big_Blue_Statue/,,3,"19,55,122",0,,
Video_Big_Endurable_Breakpoint/,,1,136,1,176,
Video_Black_Nappy_Redhead/,,0,,0,,
Video_Bloody_Nasty_Love/,,1,103,0,,
Video_Boorish_Afraid_Dissonance/,,3,"21,122,174",1,174,
Video_Boring_Sleepy_Chopsticks/,,0,,1,167,
Video_Brainy_Macabre_Gathering/,,1,89,1,19,
Video_Bright_Plain_Bias/,,2,"57,189",1,161,
Video_Bumpy_Greedy_Accord/,,0,,1,201,
Video_Busy_Lavish_Snob/,,1,272,1,272,
Video_Callous_Harmonious_Trapezoid/,,2,"52,264",1,254,
Video_Capricious_Unsuitable_Bunghole/,,4,"73,115,147,178",0,,
Video_Clean_Unsightly_Injury/,,3,"102,238,266",1,185,
Video_Clear_Smooth_Brace/,,0,,0,,"Worm on edge, so hard to see. Looks like no turns or contractions"
Video_Cloistered_Dazzling_Pail/,,1,146,0,,
Video_Combative_Available_Context/,,1,143,0,,
Video_Concerned_Understood_Egg/,,1,245,0,,
Video_Confused_Magenta_Mutt/,,1,192,0,,
Video_Crooked_Jolly_Wetland/,,0,,0,,
Video_Curious_Motionless_Waiter/,,3,"1,207,261",2,"90,207",
Video_Dangerous_Boundless_Probation/,,1,37,1,37,
Video_Dangerous_Unsuitable_Pannier/,,3,"126,217,260",0,,
Video_Dashing_Racial_Cliff/,,0,,0,,
Video_Defeated_Joyous_Hundred/,,1,110,7,"3,26,44,74,101,232,261",
