Run,Troupe,Day,Trial,W1,W2,W3,W4,W5,W6,Notes
,,,,,,,,,,
2025_01_30_16_22_07,Ph_1,1,1,0,0,0,0,0,0,
,,,2,1,0,0,0,0,0,
,,,3,1,0,0,0,0,0,subj 1
,,,4,0,0,0,0,0,0,subj 2
,,,5,0,0,0,0,0,0,.
,,,6,0,0,0,0,1,0,.
,,,7,1,0,0,1,0,0,.
,,,8,0,0,0,0,1,0,
,,,9,0,0,0,0,0,0,
,,,10,0,0,0,0,0,0,
,,,11,0,0,0,0,0,0,
,,,12,0,0,0,1,0,0,
,,,13,1,0,1,0,0,0,
,,,14,0,0,0,0,0,0,
,,,15,0,0,0,0,1,0,
,,,16,1,0,0,0,0,0,
,,,17,0,0,0,0,0,0,
,,,18,0,0,1,0,0,0,
,,,19,0,0,1,0,0,0,
,,,20,0,0,0,0,0,0,
2025_02_03_15_12_40,Ph_1,2,1,NA,0,0,1,0,Q,I do not know what the orange means. It originally was all zeroes. Replaced with NA.
,,,2,NA,0,1,0,0,Q,
,,,3,NA,0,1,0,0,Q,
,,,4,NA,1,0,0,0,Q,
,,,5,NA,0,0,0,0,Q,
,,,6,NA,0,1,1,0,Q,
,,,7,NA,0,1,1,0,Q,
,,,8,NA,0,1,0,0,Q,
,,,9,NA,0,0,0,0,Q,
,,,10,NA,0,0,0,0,Q,
,,,11,NA,1,0,0,0,Q,
,,,12,NA,0,1,0,0,Q,
,,,13,NA,0,0,0,0,Q,
,,,14,NA,0,0,0,0,Q,
,,,15,NA,0,0,0,0,Q,
,,,16,NA,0,0,0,1,Q,
,,,17,NA,0,0,0,0,Q,
,,,18,NA,0,0,0,0,Q,
,,,19,NA,NA,NA,NA,NA,Q,IDK why 2-5 do not have trials 19-20.
,,,20,NA,NA,NA,NA,NA,Q,
2025_01_31_14_57_10,Ph_2,1,1,0,0,1,0,0,0,
,,,2,0,0,1,1,0,0,
,,,3,0,0,1,0,0,0,
,,,4,0,1,0,0,1,0,
,,,5,0,0,0,1,0,0,
,,,6,0,1,0,1,0,0,
,,,7,0,1,0,0,0,0,
,,,8,0,1,1,0,0,0,
,,,9,Q,0,0,0,0,0,
,,,10,Q,0,0,0,0,0,
,,,11,Q,0,0,0,0,1,
,,,12,Q,0,0,0,0,1,
,,,13,Q,0,0,0,0,1,
,,,14,Q,0,1,0,0,0,
,,,15,Q,Q,0,0,0,0,
,,,16,Q,Q,0,0,0,0,
,,,17,Q,Q,0,0,0,0,
,,,18,Q,Q,0,0,0,0,
,,,19,Q,Q,0,0,0,0,
,,,20,0,0,0,0,0,0,
2025_02_03_15_58_35,Ph_2,2,1,0,NA,0,0,0,0,"Don't know what the red means. It was originally empty, I put NA's in."
,,,2,1,NA,1,0,0,0,
,,,3,1,NA,1,1,0,0,
,,,4,0,NA,0,0,0,1,
,,,5,0,NA,0,0,1,0,
,,,6,1,NA,0,0,0,Q,
,,,7,0,NA,1,0,1,1,
,,,8,1,NA,0,0,0,Q,
,,,9,0,NA,0,1,0,Q,
,,,10,0,NA,0,0,0,Q,
,,,11,0,NA,0,0,1,Q,
,,,12,0,NA,0,0,0,Q,
,,,13,0,NA,1,0,0,Q,
,,,14,0,NA,0,0,0,Q,
,,,15,0,NA,0,0,1,Q,
,,,16,0,NA,1,0,1,Q,
,,,17,0,NA,1,0,0,Q,
,,,18,0,NA,0,0,0,Q,
,,,19,0,NA,1,1,0,Q,
