Run_Date,Start_Time,Run_Name,Species,Group,Troupe,Block,Day,Block_Type,Data_Folder,Last_fed,No. worms,Voltage (V),Current (A),Trough No.,Worm Runner,PP?,Scored?,BDTL?,usable?,BFFs,BFF TF,Notes,Notes from rewatching.,,,,,,,,
20241122,13:00:00,Pilot_GD_CC_Tr1_2024_11_22_12_56_49,GD,CC,1,,,LO,2024_11_22_12_56_49,,16,12,NA,1,MCS,,,NA,,,,"FAIL. 70ml water in big trough. New 80 mesh trough walls. Puts in small slime crew before for 15min, they kept esaping in to eachothers' wells. Put in big experimental planaria 1 per well. 25 trials with 20s ITI. Escaped. Aborted. Fail.",,,,,,,,,
20241126,9:10,Pilot_GD_LO_Tr1_2024_11_26_09_10_19,GD,CC,1,,,LO,2024_11_26_09_10_19,,6,12,NA,?,MCS,,,NA,,,,"55ml water in big trough. Used long long trough with 80 mesh. When started recording SWAP memory was full. cleared before CC runs. Put BIG WORMS in, started LO exp 2 min after (not enough rest time). Rested for 15m after LO and 2 escaped during this time.",,,,,,,,,
20241126,9:33,Pilot_GD_CC_Tr1_2024_11_26_09_33_45,GD,CC,1,,,CC,2024_11_26_09_33_45,,6,12,NA,?,MCS,,,NA,,,,Pipetted two escapees back into their troughs. Started 25 trial 20ITI CC protocol. Recorded 20m post CC with spinview (09_44_23MJPG-0000.avi). Rested 20m before next CC. 1 escaped during this time.,,,,,,,,,
20241126,10:02,Pilot_GD_CC_Tr1_2024_11_26_10_02_02,GD,CC,1,,,CC,2024_11_26_10_02_02,,6,12,NA,?,MCS,,,NA,,,,25 trial 20ITI CC protocol. Started to crawl up onto the trough walls to avoid the shock. Generally moving slower to my eye. ,,,,,,,,,
20241127,13:44,Pilot_GD_LO_Tr1_2024_11_27_13_44_14_trial_1_LO,GD,CC,1,,,LO,2024_11_27_13_44_14_trial_1_LO,,6,12,NA,?,MCS,,,NA,,,,"First three trials are trash because one worm escaped and I pipetted him into his trough. 25 trails 20ITI LO protocol. Let rest 10m before. Olympic trough used, pre-slimed. ",,,,,,,,,
20241127,14:04,Pilot_GD_LO_Tr1_2024_11_27_14_04_46_trial_1_LO,GD,CC,1,,,LO,2024_11_27_14_04_46_trial_1_LO,,6,12,NA,?,MCS,,,NA,,,,Let rest 10m before. 25 trails 20ITI LO protocol.,,,,,,,,,
20241127,14:24,Pilot_GD_CC_Tr1_2024_11_27_14_24_51_trial_1_CC,GD,CC,1,,,CC,2024_11_27_14_24_51_trial_1_CC,,6,12,NA,?,MCS,,,NA,,,,Let rest 10m before. 25 trails 20ITI CC protocol. They seem pretty darn unhappy. Stayed curled up for many trials and then started doing more circly- movements in the troughs. One was curled up in a corner the whole time. ,,,,,,,,,
20241127,14:45,Pilot_GD_CC_Tr1_2024_11_27_14_45_47_trial_1_CC,GD,CC,1,,,CC,2024_11_27_14_45_47_trial_1_CC,,6,12,NA,?,MCS,,,NA,,,,"Let rest 10m before, had to pipette one back into his well. 25 trails 20ITI CC protocol.",,,,,,,,,
20241202,10:50,Pilot_GD_LO_Tr1_2024_12_02_10_50_13_trial_1_LO,GD,CC,1,,,LO,2024_12_02_10_50_13_trial_1_LO,,6,12,NA,?,MCS,,,NA,,,,"Back in normal long trough, increased height of pedestal so working distance is shorter (may improve SA performance to disambiguate from the mesh). Put slime crew in for 15m before put experimentals in. Did 25 trial 20ITI protocol. One escaped into a neighboring trough around 5:30, then returned to his own trough.",,,,,,,,,
20241202,11:11,Pilot_GD_LO_Tr1_2024_12_02_11_11_09_trial_1_LO,GD,,1,,,LO,2024_12_02_11_11_09_trial_1_LO,,6,12,NA,,MCS,,,,,,,Waited 10 minute break. Had to put 2 back in trough (2 and 4 identity swapped!) bc he escaped.,,,,,,,,,
20241202,11:36,Pilot_GD_LO_Tr1_2024_12_02_11_36_02_trial_1_CC,GD,,1,,,CC,2024_12_02_11_36_02_trial_1_CC,,6,12,NA,,MCS,,,,,,,Waited 10 minute break. Had to put 2 back in trough (2 and 4 identity swapped!) bc he escaped. Did 25 trial 20s ITI.,,,,,,,,,
20241202,11:56,Pilot_GD_LO_Tr1_2024_12_02_11_56_19_trial_1_CC,GD,,1,,,CC,2024_12_02_11_56_19_trial_1_CC,,6,12,NA,,MCS,,,,,,,Waited 10 minute break. ,,,,,,,,,
20241202,16:14,Pilot_GD_CC_Tr2_Day1_Block1_LO,GD,CC,2,1,1,LO,2024_12_02_16_14_19_trial_1_LO,5,6,12,NA,Collegiate-1,ZK,,,NA,,,,Used 50ml water in large trough. One slime crew member was accidentally left in for the first LO trial,,,,,,,,,
