Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,,,,,
2025_02_06_09_50_08_trial_1_LO,R1_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,-1,-1,,,,,
,,20 trials ,1,LO,2,0,0,0,0,0,0,,,,,
,,20s ITI,1,LO,3,0,0,0,-1,1,0,,,,,
,,All CRs are turns or contractions,1,LO,4,0,0,0,-1,0,0,,,,,
,,CC High,1,LO,5,0,0,0,0,0,0,,,,,
,,,1,LO,6,0,0,1,1,0,0,,,,,
,,,1,LO,7,0,0,0,-1,0,0,,,,,
,,,1,LO,8,0,0,0,0,0,0,,,,,
,,,1,LO,9,0,0,0,0,0,0,,,,,
,,,1,LO,10,0,0,0,0,0,-1,,,,,
,,,1,LO,11,0,0,0,1,0,0,,,,,
,,,1,LO,12,0,0,0,0,0,0,,,,,
,,,1,LO,13,0,0,0,0,0,0,,,,,
,,,1,LO,14,0,0,0,0,0,0,,,,,
,,,1,LO,15,0,0,0,0,0,0,,,,,
,,,1,LO,16,0,0,0,0,0,0,,,,,
,,,1,LO,17,0,0,0,0,0,0,,,,,
,,,1,LO,18,0,0,0,0,0,0,,,,,
,,,1,LO,19,0,0,0,0,0,0,,,,,
,,,1,LO,20,0,0,0,0,0,0,,,,,
,,,1,LO,21,0,0,0,0,-1,0,,,,,
,,,1,LO,22,-1,0,0,0,0,0,,,,,
,,,1,LO,23,0,0,-1,0,0,0,,,,,
,,,1,LO,24,0,0,0,0,0,0,,,,,
,,,1,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_10_10_21_trial_1_LO,R1_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,-1,-1,,,,,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,
,,20s ITI,2,LO,3,0,0,0,0,-1,-1,,,,,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,-1,-1,,,,,
,,CC High,2,LO,5,0,0,0,0,0,0,,,,,
,,,2,LO,6,0,0,0,0,0,0,,,,,
,,,2,LO,7,0,0,0,0,-1,0,,,,,
,,,2,LO,8,0,0,0,0,0,0,,,,,
,,,2,LO,9,0,0,0,0,0,-1,,,,,
,,,2,LO,10,0,0,0,0,0,0,,,,,
,,,2,LO,11,0,0,0,0,0,0,,,,,
,,,2,LO,12,0,0,0,0,0,0,,,,,
,,,2,LO,13,0,0,0,0,-1,0,,,,,
,,,2,LO,14,0,0,0,0,0,-1,,,,,
,,,2,LO,15,0,0,0,0,-1,0,,,,,
,,,2,LO,16,0,0,0,0,0,0,,,,,
,,,2,LO,17,0,0,0,0,0,0,,,,,
,,,2,LO,18,0,1,0,0,0,0,,,,,
,,,2,LO,19,0,0,0,0,0,-1,,,,,
,,,2,LO,20,0,0,0,-1,0,0,,,,,
,,,2,LO,21,-1,0,0,0,0,0,,,,,
,,,2,LO,22,0,0,0,0,-1,-1,,,,,
,,,2,LO,23,0,0,0,0,0,0,,,,,
,,,2,LO,24,0,0,0,0,0,0,,,,,
,,,2,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_10_31_37_trial_1_CC,R1_1,Milled trough + attached electrodes,3,CC,1,1,0,1,0,1,1,,,,,
,,20 trials ,3,CC,2,1,0,0,1,0,0,,,,,
,,20s ITI,3,CC,3,1,1,1,0,0,1,,,,,
,,All CRs are turns or contractions,3,CC,4,0,0,1,1,-1,0,,,,,
,,CC High,3,CC,5,0,1,0,1,1,1,,,,,
,,,3,CC,6,-1,1,1,1,1,1,,,,,
,,,3,CC,7,0,0,1,1,1,1,,,,,
,,,3,CC,8,1,0,1,-1,1,-1,,,,,
,,,3,CC,9,1,0,1,1,1,-1,,,,,
,,,3,CC,10,1,0,-1,0,1,0,,,,,
,,,3,CC,11,1,0,0,0,1,0,,,,,
,,,3,CC,12,0,0,0,0,1,0,,,,,
,,,3,CC,13,1,0,0,1,1,0,,,,,
,,,3,CC,14,0,0,0,1,1,0,,,,,
,,,3,CC,15,1,0,0,1,1,0,,,,,
,,,3,CC,16,1,0,0,1,1,0,,,,,
,,,3,CC,17,1,1,0,1,0,0,,,,,
,,,3,CC,18,1,1,0,0,0,0,,,,,
,,,3,CC,19,1,1,0,0,1,0,,,,,
,,,3,CC,20,0,1,0,1,0,0,,,,,
,,,3,CC,21,0,1,0,1,1,0,,,,,
,,,3,CC,22,0,1,0,1,0,0,,,,,
,,,3,CC,23,1,1,0,0,0,0,,,,,
,,,3,CC,24,1,1,0,1,1,0,,,,,
,,,3,CC,25,0,1,0,0,1,0,,,,,
2025_02_06_10_51_47_trial_1_CC,R1_1,Milled trough + attached electrodes,4,CC,1,0,0,0,0,1,0,,,,,
,,20 trials ,4,CC,2,0,0,0,0,0,0,,,,,
,,20s ITI,4,CC,3,1,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,4,CC,4,0,0,0,0,0,0,,,,,
,,CC High,4,CC,5,0,0,0,0,1,0,,,,,
,,,4,CC,6,0,0,0,0,0,0,,,,,
,,,4,CC,7,1,0,0,0,0,0,,,,,
,,,4,CC,8,1,0,1,0,1,0,,,,,
,,,4,CC,9,0,0,1,0,0,0,,,,,
,,,4,CC,10,0,0,1,0,0,0,,,,,
,,,4,CC,11,1,0,0,0,1,0,,,,,
,,,4,CC,12,0,0,1,0,0,0,,,,,
,,,4,CC,13,1,0,0,0,1,0,,,,,
,,,4,CC,14,0,0,1,0,1,0,,,,,
,,,4,CC,15,1,0,1,0,1,0,,,,,
,,,4,CC,16,1,0,1,0,1,0,,,,,
,,,4,CC,17,0,0,1,0,1,0,,,,,
,,,4,CC,18,0,0,1,0,1,0,,,,,
,,,4,CC,19,0,0,1,0,1,0,,,,,
,,,4,CC,20,0,0,1,0,0,0,,,,,
,,,4,CC,21,0,0,0,0,1,0,,,,,
,,,4,CC,22,0,0,1,0,1,0,,,,,
,,,4,CC,23,0,0,1,0,1,0,,,,,
,,,4,CC,24,0,0,0,0,1,0,,,,,
,,,4,CC,25,0,0,1,0,1,0,,,,,
2025_02_06_12_02_28_trial_1_LO,R2_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,0,-1,,,,,
,,20 trials ,1,LO,2,0,0,0,0,0,-1,,,,,
,,20s ITI,1,LO,3,0,0,0,0,0,-1,,,,,
,,All CRs are turns or contractions,1,LO,4,0,0,0,0,0,0,,,,,
,,PC High,1,LO,5,0,0,0,0,0,1,,,,,
,,,1,LO,6,0,0,0,0,0,-1,,,,,
,,,1,LO,7,0,-1,0,0,-1,-1,,,,,
,,,1,LO,8,0,0,0,0,0,0,,,,,
,,,1,LO,9,0,0,0,0,0,0,,,,,
,,,1,LO,10,0,0,0,0,0,0,,,,,
,,,1,LO,11,0,-1,0,-1,0,0,,,,,
,,,1,LO,12,0,0,0,0,0,0,,,,,
,,,1,LO,13,0,0,0,0,0,0,,,,,
,,,1,LO,14,0,0,0,0,0,0,,,,,
,,,1,LO,15,0,0,0,0,0,0,,,,,
,,,1,LO,16,0,0,0,0,0,0,,,,,
,,,1,LO,17,0,0,0,0,-1,0,,,,,
,,,1,LO,18,0,0,-1,0,0,0,,,,,
,,,1,LO,19,0,0,0,0,0,0,,,,,
,,,1,LO,20,0,0,0,0,0,0,,,,,
,,,1,LO,21,0,0,0,0,0,0,,,,,
,,,1,LO,22,0,0,0,-1,-1,0,,,,,
,,,1,LO,23,0,-1,0,0,0,0,,,,,
,,,1,LO,24,0,0,0,0,-1,0,,,,,
,,,1,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_12_22_35_trial_1_LO,R2_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,0,0,,,,,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,
,,20s ITI,2,LO,3,0,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,0,0,,,,,
,,PC High,2,LO,5,0,0,0,1,0,0,,,,,
,,,2,LO,6,0,0,0,0,0,0,,,,,
,,,2,LO,7,0,0,-1,0,0,0,,,,,
,,,2,LO,8,0,0,1,0,0,0,,,,,
,,,2,LO,9,0,-1,0,0,0,0,,,,,
,,,2,LO,10,0,0,0,0,0,0,,,,,
,,,2,LO,11,0,0,0,0,0,0,,,,,
,,,2,LO,12,0,0,0,0,0,0,,,,,
,,,2,LO,13,0,0,0,-1,0,0,,,,,
,,,2,LO,14,0,0,0,0,0,0,,,,,
,,,2,LO,15,0,0,0,0,0,0,,,,,
,,,2,LO,16,0,0,0,0,0,0,,,,,
,,,2,LO,17,0,0,-1,0,0,0,,,,,
,,,2,LO,18,0,0,1,0,0,0,,,,,
,,,2,LO,19,0,0,0,0,0,0,,,,,
,,,2,LO,20,0,0,0,0,0,0,,,,,
,,,2,LO,21,0,0,0,0,0,0,,,,,
,,,2,LO,22,0,0,0,0,0,0,,,,,
,,,2,LO,23,0,0,0,0,0,0,,,,,
,,,2,LO,24,0,0,0,0,0,0,,,,,
,,,2,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_12_42_27_trial_1_PC,R2_1,Milled trough + attached electrodes,3,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,3,PC,2,0,1,0,0,0,0,,,,,
,,20s ITI,3,PC,3,0,0,0,0,0,0,,,,,
,,0 = no response,3,PC,4,0,0,0,0,-1,-1,,,,,
,,1 = head turn,3,PC,5,0,-1,0,0,0,0,,,,,
,,2 = contraction,3,PC,6,0,0,1,0,-1,0,,,,,
,,3 = contraction + turn ,3,PC,7,-1,-1,0,-1,0,0,,,,,
,,X = quiescent,3,PC,8,0,0,0,0,0,0,,,,,
,,"H = hidden, occluded",3,PC,9,0,0,0,0,0,0,,,,,
,,,3,PC,10,0,0,0,0,0,0,,,,,
,,,3,PC,11,0,0,0,0,0,-1,,,,,
,,,3,PC,12,0,0,0,0,0,0,,,,,
,,,3,PC,13,0,0,0,0,0,0,,,,,
,,,3,PC,14,0,0,0,0,0,0,,,,,
,,,3,PC,15,0,0,0,0,0,0,,,,,
,,,3,PC,16,0,0,0,0,0,0,,,,,
,,,3,PC,17,0,0,0,0,0,0,,,,,
,,,3,PC,18,0,0,0,0,0,0,,,,,
