Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,Well 1 aligned,Well 2 aligned,Well 3 aligned,Well 4 aligned,Well 5 aligned,Well 6 aligned,Well 1 quiescent,Well 2 quiescent,Well 3 quiescent,Well 4 quiescent,Well 5 quiescent,Well 6 quiescent,Scored by,Notes
2025_02_06_09_50_08_trial_1_LO,R1_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,1,1,,,,,,,1,0,0,0,0,0,MCS,
,,20 trials ,1,LO,2,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,20s ITI,1,LO,3,0,0,0,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,All CRs are turns or contractions,1,LO,4,0,0,0,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,CC High,1,LO,5,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,6,0,0,0,0,1,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,7,0,0,0,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,8,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,9,0,0,1,1,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,10,0,0,0,1,0,1,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,11,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,12,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,13,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,14,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,15,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,16,0,0,0,0,0,1,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,17,0,0,1,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,18,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0,MCS,
,,,1,LO,19,0,0,0,0,0,0,,,,,,,1,0,1,0,0,1,MCS,
,,,1,LO,20,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,21,0,0,1,0,1,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,22,1,0,0,0,1,0,,,,,,,0,0,0,0,0,1,MCS,
,,,1,LO,23,0,0,1,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
,,,1,LO,24,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1,MCS,
,,,1,LO,25,0,0,0,0,0,0,,,,,,,1,0,0,0,0,1,MCS,
2025_02_06_10_10_21_trial_1_LO,R1_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,20s ITI,2,LO,3,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
,,CC High,2,LO,5,1,0,0,0,0,0,,,,,,,0,0,0,0,1,0,MCS,
,,,2,LO,6,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,7,0,0,0,0,1,0,,,,,,,0,0,0,1,0,1,MCS,
,,,2,LO,8,1,0,1,1,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,9,0,0,0,0,0,1,,,,,,,0,0,0,0,1,0,MCS,
,,,2,LO,10,0,0,0,1,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,11,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,12,0,0,0,0,0,0,,,,,,,0,0,0,0,1,1,MCS,
,,,2,LO,13,0,0,0,0,1,0,,,,,,,0,0,0,0,0,1,MCS,
,,,2,LO,14,0,0,0,0,0,1,,,,,,,0,0,0,0,1,0,MCS,
,,,2,LO,15,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0,MCS,
