Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_07_15_10_09_29_trial_1_TC,TC-1,1,1,1,8,3,6,4,7,5,2,1,1,2,2,1,2,0,0,0,1,1,2,0,0,0,1,0,"SCORING NOTES: CR scoring is in regards to 27 seconds without shock. UCR is during delivery of shock. Leftmost chunk of 12 worms is CR, right is UR"
,TC-1,1,1,2,4,1,5,3,7,2,1,1,0,2,1,1,1,0,1,1,0,2,1,0,0,0,1,1,"100% UCRs on shock end, didn't count them"
,TC-1,1,1,3,2,2,1,2,5,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,Double counting is certain -- what head whips or rearing count as? Been both
2025_07_15_14_18_26_trial_1_TC,TC-1,1,2,1,4,2,0,8,1,1,2,3,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,1,"Seeing UCR-off contractions again. Smaller worms more reactive, it seems (maybe same wigwag angle with smaller body size creates misleading appearance of turn)"
,TC-1,1,2,2,1,0,0,3,3,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,1,"I am displeased with the UCRs, even if the stim-off gets reactions. I  would like to increase voltage come future. "
,TC-1,1,2,3,4,0,3,0,4,5,1,0,0,0,2,3,0,1,1,1,0,0,0,1,0,0,0,0,
2025_07_16_10_04_14_trial_1_TC,TC-1,2,3,1,4,2,2,1,3,9,2,1,0,2,2,0,2,1,1,0,1,0,1,2,0,0,0,0,"W5 UCR-con starts before shock indic, not counted. W6's 9 is not typo."
,TC-1,2,3,2,3,1,2,6,2,5,1,1,1,3,1,1,0,2,0,0,0,0,0,0,1,1,0,0,Distinction between turn and con is hazy in W2.
,TC-1,2,3,3,2,4,4,0,2,5,1,2,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,
2025_07_16_14_13_01_trial_1_TC,TC-1,2,4,1,2,2,2,6,0,3,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Seeing more responsiveness to light in small worm. Still seeing offset UCRs, not counting."
,TC-1,2,4,2,1,3,0,4,2,3,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,Seeing UCR-off contractions again. 
,TC-1,2,4,3,4,2,2,2,4,0,0,0,1,0,1,2,1,2,1,0,0,1,1,1,0,0,0,1,
2025_07_17_10_16_11_trial_1_TC,TC-1,3,5,1,1,1,10,3,9,2,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,Seeing UCR-off contractions again. 10 not a typo.
,TC-1,3,5,2,3,2,3,3,4,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,"Whole frame moves Fr 399. Still counting cons. Yellow con at the 399, but were NOT counted (sub'd 1 from raw counts). W4 is in inchworm mode so many ""contractions"", not counted as that though..."
,TC-1,3,5,3,0,1,10,5,1,0,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,1,1,
2025_07_17_14_48_06_trial_1_TC,TC-1,3,6,1,2,1,7,1,7,4,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Seeing UCR-off contractions again. 
,TC-1,3,6,2,1,3,5,7,1,2,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,
,TC-1,3,6,3,5,5,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,
2025_07_18_10_22_17_trial_1_TC,TC-1,4,7,1,1,2,4,2,7,2,0,1,2,0,1,1,1,0,1,1,0,0,2,0,0,0,0,0,Seeing UCR-off contractions again. Yellow = synchronized cons at 92.
,TC-1,4,7,2,3,4,4,3,2,1,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,1,
,TC-1,4,7,3,3,2,2,3,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025_07_18_14_22_00_trial_1_TC,TC-1,4,8,1,0,1,6,7,1,2,0,1,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,1,Seeing UCR-off contractions again. 
,TC-1,4,8,2,0,1,4,0,2,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,
,TC-1,4,8,3,1,4,0,3,3,1,1,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,
2025_07_29_10_22_03_trial_1_TC,TC-2,1,1,1,5,3,4,5,0,2,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,Increased to 11.75 v from here to Tr5. Happy with UCS-on contractions. W5 spent whole time coiled on electrode.
,TC-2,1,1,2,4,4,6,6,1,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,"These shocks are very violent, elicit rapid contractions, but the worms are moving every trial. W5 hightailing at start of trial, not counted as contractions. W5 hightaiing again after being on electrode when UCS happened."
,TC-2,1,1,3,1,4,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,Disturbed by W2 UCRcon scores. Suggests current was not flowing through that section (not even UCR-off con like Tr1). W6 coiled round electrode at UCS.
2025_07_29_13_55_19_trial_1_TC,TC-2,1,2,1,8,0,3,7,3,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,"Surprised to see W2 contract after first round. Maybe this is its ""first"" block with some confounding latent inhibition."
,TC-2,1,2,2,5,0,4,2,2,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,W2 occluded for UCS but can infer contraction from its shadow.
,TC-2,1,2,3,7,3,3,1,0,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"I would not pay much attention to UCRturns. I did not try to score the shock-induced spasming, nor looked for it when UCRcons were present. Cons are the reliable measure."
2025_07_30_10_17_02_trial_1_TC,TC-2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_45_13_trial_1_TC,TC-2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_41_11_trial_1_TC,TC-2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_23_01_trial_1_TC,TC-2,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-2,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_57_03_trial_1_TC,TC-2,4,7,1,5,6,4,2,12,3,2,2,1,0,3,1,1,1,0,0,1,0,1,0,0,1,1,0,Not scored blind. Orange text = 1 unit occurred within 3s (30f) of light. No orange text day 1 this troupe.
,TC-2,4,7,2,4,5,1,3,8,4,3,0,0,1,3,1,1,0,0,0,1,0,1,0,0,1,1,0,"Disturbed by these UCRs, interesting how CRcon higher in non-0 UCR groups tho..."
,TC-2,4,7,3,3,2,4,3,6,1,2,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,Don't like these UCR rates
2025_08_01_14_17_03_trial_1_TC,TC-2,4,8,1,3,5,4,2,5,1,1,2,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,W3 UCRoff con/turn.
,TC-2,4,8,2,11,0,1,2,2,4,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,W2 just hanging on electrode.
,TC-2,4,8,3,6,4,1,4,3,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,"W1 was ouroborosing already, couldn't have conned. W2 maybe some UCR-off turns."
2025_07_29_10_32_00_trial_1_TC,TC-3,1,1,1,3,4,6,8,2,9,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,W3 is spasmadic.
,TC-3,1,1,2,3,2,7,4,3,3,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,
,TC-3,1,1,3,4,5,9,3,6,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,"W3 occluded, silhouette visible. W6 fully occluded."
2025_07_29_14_08_07_trial_1_TC,TC-3,1,2,1,5,3,5,7,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
,TC-3,1,2,2,2,4,1,8,2,2,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,
,TC-3,1,2,3,3,1,4,4,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,W2 occluded. W5 jumped into W6 lane. Scored it in that lane. Interesting that the worms took the same paths together.
2025_07_30_10_33_39_trial_1_TC,TC-3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_55_13_trial_1_TC,TC-3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_53_00_trial_1_TC,TC-3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_40_54_trial_1_TC,TC-3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_08_20_trial_1_TC,TC-3,4,7,1,1,4,6,2,5,6,0,0,2,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,
,TC-3,4,7,2,1,7,4,3,1,5,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,
,TC-3,4,7,3,1,2,2,2,2,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,
2025_08_01_14_33_13_trial_1_TC,TC-3,4,8,1,1,6,3,1,1,4,2,0,1,1,0,4,0,1,0,1,1,1,0,0,0,1,1,1,"W3 interesting, no UCRs but con inc? **"
,TC-3,4,8,2,1,5,1,7,0,5,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,
,TC-3,4,8,3,2,2,0,3,2,5,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,1,1,1,
2025_07_29_10_41_04_trial_1_TC,TC-4,1,1,1,4,4,2,3,3,4,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"W5 has two heads. I'm double-counting, so... yeah. W4 is almost two-headed but they're physically connected. Bizarre."
,TC-4,1,1,2,2,3,5,0,2,6,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,"W2 hard to see, don't think saw UCRs. W5 very difficult to score, it's blobby."
,TC-4,1,1,3,2,5,4,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,"W6 difficult to score, so big all movements look noticable but nothing really jarring."
2025_07_29_14_19_02_trial_1_TC,TC-4,1,2,1,0,2,3,2,5,6,0,2,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,"W4 occluded, couldn't see so said 0."
,TC-4,1,2,2,1,2,6,2,7,0,1,0,2,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,
,TC-4,1,2,3,0,4,5,2,9,2,0,0,2,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,"W1,W2 occluded during shock but can see silhouette change."
2025_07_30_12_09_36_trial_1_TC,TC-4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_15_09_06_trial_1_TC,TC-4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_11_12_19_trial_1_TC,TC-4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_51_01_trial_1_TC,TC-4,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-4,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_19_05_trial_1_TC,TC-4,4,7,1,6,4,5,0,2,6,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,Not doing the orange text thing here.
,TC-4,4,7,2,7,5,5,1,1,3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,
,TC-4,4,7,3,3,7,5,1,3,4,2,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,
2025_08_01_14_45_36_trial_1_TC,TC-4,4,8,1,1,4,6,2,2,2,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,W5 should probably not contribute to the turn scores at all. Worm is too discombobulated.
,TC-4,4,8,2,3,3,4,2,3,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,
,TC-4,4,8,3,2,4,3,2,4,5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,
2025_07_29_10_10_33_trial_1_TC,TC-5,1,1,1,Q,Q,2,Q,1,4,Q,Q,0,Q,0,1,Q,0,0,0,1,0,Q,1,1,1,1,1,Individual data not available for this troupe.
,TC-5,1,1,2,Q,3,1,7,1,6,Q,2,0,1,0,2,Q,1,1,1,1,1,Q,1,1,1,1,1,
,TC-5,1,1,3,Q,3,6,1,1,3,Q,3,2,1,1,0,Q,1,1,0,1,1,Q,1,1,1,1,1,
2025_07_29_13_46_05_trial_1_TC,TC-5,1,2,1,Q,6,8,Q,0,0,Q,4,2,Q,1,0,Q,1,1,Q,0,1,Q,1,1,Q,1,1,"Interested in what W5 is doing, essentially Q with cons to light on."
,TC-5,1,2,2,Q,5,2,Q,0,1,Q,0,0,Q,0,0,Q,1,0,0,0,1,Q,1,1,1,1,1,
,TC-5,1,2,3,Q,1,Q,Q,0,0,Q,0,Q,Q,2,0,Q,0,Q,0,0,1,Q,1,Q,1,1,1,
2025_07_30_10_05_58_trial_1_TC,TC-5,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,"2 in lane 5, 4 in lane 6 overnight; moved to 1:1 worm to lane and let rest for 4 mins befores starting."
,TC-5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-5,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_28_11_trial_1_TC,TC-5,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
