Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_07_29_10_41_04_trial_1_TC,TC-4,1,1,1,,,,3,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,
2025_07_29_10_41_04_trial_1_TC,TC-4,1,1,2,,,,0,,,,,,0,,,1,0,1,1,1,1,1,0,1,1,1,1,
2025_07_29_10_41_04_trial_1_TC,TC-4,1,1,3,,,,0,,,,,,0,,,1,0,1,1,1,1,1,1,1,1,1,1,
2025_07_29_14_19_02_trial_1_TC,TC-4,1,2,1,,,,2,,,,,,0,,,1,0,1,0,1,1,1,0,1,0,1,1,
2025_07_29_14_19_02_trial_1_TC,TC-4,1,2,2,,,,2,,,,,,1,,,1,1,1,0,1,1,1,1,1,1,1,1,
2025_07_29_14_19_02_trial_1_TC,TC-4,1,2,3,,,,2,,,,,,1,,,1,0,1,1,1,0,1,1,1,1,1,1,
2025_07_30_12_09_36_trial_1_TC,TC-4,2,3,1,,,,2,,,,,,2,,,,,,,,,,,,,,,
2025_07_30_12_09_36_trial_1_TC,TC-4,2,3,2,,,,4,,,,,,1,,,,,,,,,,,,,,,"W4: Surprisingly, they're maximizing their joint slay, somewhat synchronized for once. Weird!"
2025_07_30_12_09_36_trial_1_TC,TC-4,2,3,3,,,,0,,,,,,0,,,,,,,,,,,,,,,W5: This video is horrifying and wretched
2025_07_30_15_09_06_trial_1_TC,TC-4,2,4,1,,,,3,,,,,,2,,,,,,,,,,,,,,,"W4: For this two-headed worm, any contraction of head counts. What a weird thing to have to specify lol. The two heads seem to fight with each other (comma) apparently causing a lot of jerky movements or turns that are hard to classify; W6: JUMPSCARE"
2025_07_30_15_09_06_trial_1_TC,TC-4,2,4,2,,,,4,,,,,,1,,,,,,,,,,,,,,,
2025_07_30_15_09_06_trial_1_TC,TC-4,2,4,3,,,,0,,,,,,0,,,,,,,,,,,,,,,W1: Bizarre peristaltic behavior that I do not count as contractions; W6: Good lord
2025_07_31_11_12_19_trial_1_TC,TC-4,3,5,1,,,,1,,,,,,0,,,,,,,,,,,,,,,W5: This is an act against god; W6: Jumpscare; W4: Shocking how in this video they don't look as if they're fighting for dominance
2025_07_31_11_12_19_trial_1_TC,TC-4,3,5,2,,,,2,,,,,,1,,,,,,,,,,,,,,,W6: Holy fuck this worm is HUGE; W5: very important to not know which troupe Janus belongs to
2025_07_31_11_12_19_trial_1_TC,TC-4,3,5,3,,,,1,,,,,,0,,,,,,,,,,,,,,,W5: This worm is impossible to score with monoephalic scoring standards. A lesson in diversity
2025_07_31_14_51_01_trial_1_TC,TC-4,3,6,1,,,,4,,,,,,4,,,,,,,,,,,,,,,W5: Subtle as always; W4: These guys are like bucking and shucking
2025_07_31_14_51_01_trial_1_TC,TC-4,3,6,2,,,,1,,,,,,1,,,,,,,,,,,,,,,W4: What the fuck is this animal
2025_07_31_14_51_01_trial_1_TC,TC-4,3,6,3,,,,1,,,,,,0,,,,,,,,,,,,,,,W5: Not a clue what's going on here
2025_08_01_10_19_05_trial_1_TC,TC-4,4,7,1,,,,0,,,,,,0,,,1,1,0,0,0,0,1,0,0,1,1,1,
2025_08_01_10_19_05_trial_1_TC,TC-4,4,7,2,,,,1,,,,,,0,,,1,1,0,0,0,0,1,0,0,1,1,1,
2025_08_01_10_19_05_trial_1_TC,TC-4,4,7,3,,,,1,,,,,,0,,,1,1,1,0,0,0,1,1,1,0,1,1,
2025_08_01_14_45_36_trial_1_TC,TC-4,4,8,1,,,,2,,,,,,1,,,0,0,1,1,0,0,1,0,0,1,1,1,
2025_08_01_14_45_36_trial_1_TC,TC-4,4,8,2,,,,2,,,,,,0,,,0,0,1,0,1,0,1,0,0,1,1,1,
2025_08_01_14_45_36_trial_1_TC,TC-4,4,8,3,,,,2,,,,,,1,,,0,0,0,1,0,0,1,0,0,1,1,1,
