Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes,CRturn_W19,CRcon_W19,CRturn_W9,CRcon_W9,CRturn_W11,CRcon_W11,CRturn_W7,CRcon_W7,CRturn_W10,CRcon_W10,CRturn_W15,CRcon_W15
2025_07_15_10_09_29_trial_1_TC,TC-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_10_09_29_trial_1_TC,TC-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_10_09_29_trial_1_TC,TC-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_14_18_26_trial_1_TC,TC-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_14_18_26_trial_1_TC,TC-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_15_14_18_26_trial_1_TC,TC-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_10_04_14_trial_1_TC,TC-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_10_04_14_trial_1_TC,TC-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_10_04_14_trial_1_TC,TC-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_14_13_01_trial_1_TC,TC-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_14_13_01_trial_1_TC,TC-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_16_14_13_01_trial_1_TC,TC-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_10_16_11_trial_1_TC,TC-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_10_16_11_trial_1_TC,TC-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_10_16_11_trial_1_TC,TC-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_14_48_06_trial_1_TC,TC-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_14_48_06_trial_1_TC,TC-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_17_14_48_06_trial_1_TC,TC-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_10_22_17_trial_1_TC,TC-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_10_22_17_trial_1_TC,TC-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_10_22_17_trial_1_TC,TC-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_14_22_00_trial_1_TC,TC-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_14_22_00_trial_1_TC,TC-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_18_14_22_00_trial_1_TC,TC-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_22_03_trial_1_TC,TC-2,1,1,1,3,3,4,4,0,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_22_03_trial_1_TC,TC-2,1,1,2,0,1,1,2,1,2,0,0,0,0,9,0,,,,,,,,,,,,,W5: Scrunching movement,,,,,,,,,,,,
2025_07_29_10_22_03_trial_1_TC,TC-2,1,1,3,1,3,2,3,2,1,1,0,0,0,0,0,,,,,,,,,,,,,W5: Scrunch gait not counted,,,,,,,,,,,,
2025_07_29_13_55_19_trial_1_TC,TC-2,1,2,1,8,0,2,7,2,2,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_13_55_19_trial_1_TC,TC-2,1,2,2,6,0,1,2,2,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_13_55_19_trial_1_TC,TC-2,1,2,3,4,2,2,1,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_17_02_trial_1_TC,TC-2,2,3,1,3,2,1,9,6,4,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_17_02_trial_1_TC,TC-2,2,3,2,4,2,3,6,3,4,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_17_02_trial_1_TC,TC-2,2,3,3,1,1,1,2,5,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_45_13_trial_1_TC,TC-2,2,4,1,6,5,3,5,6,3,2,0,0,1,1,1,,,,,,,,,,,,,"W1: Same deal here, con actually looks real for once",,,,,,,,,,,,
2025_07_30_14_45_13_trial_1_TC,TC-2,2,4,2,3,0,3,3,5,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_45_13_trial_1_TC,TC-2,2,4,3,1,2,3,2,3,4,0,0,5,0,1,2,,,,,,,,,,,,,W3: Yabba dabba doo movement (comma) I do count it as contractions,,,,,,,,,,,,
2025_07_31_10_41_11_trial_1_TC,TC-2,3,5,1,8,2,1,3,6,1,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_41_11_trial_1_TC,TC-2,3,5,2,3,1,1,0,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_41_11_trial_1_TC,TC-2,3,5,3,2,1,3,2,1,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_23_01_trial_1_TC,TC-2,3,6,1,3,2,3,3,4,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_23_01_trial_1_TC,TC-2,3,6,2,3,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_23_01_trial_1_TC,TC-2,3,6,3,3,0,1,4,1,2,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_57_03_trial_1_TC,TC-2,4,7,1,5,6,1,1,11,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_57_03_trial_1_TC,TC-2,4,7,2,6,4,1,1,6,3,2,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_09_57_03_trial_1_TC,TC-2,4,7,3,1,3,3,1,2,2,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_17_03_trial_1_TC,TC-2,4,8,1,2,3,2,3,2,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_17_03_trial_1_TC,TC-2,4,8,2,7,0,0,0,2,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_17_03_trial_1_TC,TC-2,4,8,3,4,0,0,0,0,3,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_32_00_trial_1_TC,TC-3,1,1,1,0,1,4,7,1,7,1,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_32_00_trial_1_TC,TC-3,1,1,2,1,0,4,3,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_10_32_00_trial_1_TC,TC-3,1,1,3,1,4,5,2,3,3,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_08_07_trial_1_TC,TC-3,1,2,1,6,1,3,6,1,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_08_07_trial_1_TC,TC-3,1,2,2,1,4,0,7,2,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_29_14_08_07_trial_1_TC,TC-3,1,2,3,1,0,1,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,W6: 2 worms in here; same single turn for each thankfully,,,,,,,,,,,,
2025_07_30_10_33_39_trial_1_TC,TC-3,2,3,1,1,4,4,2,5,4,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_10_33_39_trial_1_TC,TC-3,2,3,2,0,2,1,2,1,2,0,0,0,1,0,1,,,,,,,,,,,,,W2: Another worm races by on the rim lol,,,,,,,,,,,,
2025_07_30_10_33_39_trial_1_TC,TC-3,2,3,3,6,3,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,W3: No worm,,,,,,,,,,,,
2025_07_30_14_55_13_trial_1_TC,TC-3,2,4,1,3,7,1,4,2,2,0,1,0,1,1,0,,,,,,,,,,,,,W3: Crazy backflip,,,,,,,,,,,,
2025_07_30_14_55_13_trial_1_TC,TC-3,2,4,2,2,4,4,4,1,3,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_30_14_55_13_trial_1_TC,TC-3,2,4,3,5,3,2,2,3,0,3,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_53_00_trial_1_TC,TC-3,3,5,1,7,6,6,6,7,8,0,3,2,2,1,1,,,,,,,,,,,,,"W4: this is beautiful, this is what I expect to see when I hear contraction to light",,,,,,,,,,,,
2025_07_31_10_53_00_trial_1_TC,TC-3,3,5,2,4,6,5,2,2,5,0,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_10_53_00_trial_1_TC,TC-3,3,5,3,1,5,3,2,4,3,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_40_54_trial_1_TC,TC-3,3,6,1,2,4,4,7,5,3,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_40_54_trial_1_TC,TC-3,3,6,2,1,1,2,3,5,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_07_31_14_40_54_trial_1_TC,TC-3,3,6,3,2,0,1,2,4,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_08_20_trial_1_TC,TC-3,4,7,1,1,2,7,2,5,4,0,1,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_10_08_20_trial_1_TC,TC-3,4,7,2,0,3,3,3,1,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
