Reference,Test,Event_Type,Total_Ref_Events,Total_Test_Events,Matched,Unmatched_Ref,Unmatched_Test,Cross_Type_Confused,Recall,Precision,F1,Miss_Rate,Confusion_Rate_of_Misses
Scorer_1,Scorer_2,Contractions,139,191,115,24,76,0,0.8273381294964028,0.6020942408376964,0.696969696969697,0.17266187050359713,0.0
Scorer_1,Scorer_2,Turns,531,385,287,244,98,7,0.5404896421845574,0.7454545454545455,0.6266375545851528,0.4595103578154426,0.028688524590163935
Scorer_1,Scorer_3,Contractions,139,169,80,59,89,0,0.5755395683453237,0.47337278106508873,0.5194805194805195,0.4244604316546763,0.0
Scorer_1,Scorer_3,Turns,531,239,151,380,88,16,0.2843691148775895,0.6317991631799164,0.3922077922077923,0.7156308851224106,0.042105263157894736
Scorer_2,Scorer_1,Contractions,191,139,115,76,24,7,0.6020942408376964,0.8273381294964028,0.696969696969697,0.39790575916230364,0.09210526315789473
Scorer_2,Scorer_1,Turns,385,531,287,98,244,0,0.7454545454545455,0.5404896421845574,0.6266375545851528,0.2545454545454545,0.0
Scorer_2,Scorer_3,Contractions,191,169,94,97,75,3,0.49214659685863876,0.5562130177514792,0.5222222222222221,0.5078534031413613,0.030927835051546393
Scorer_2,Scorer_3,Turns,385,239,153,232,86,2,0.3974025974025974,0.6401673640167364,0.4903846153846153,0.6025974025974026,0.008620689655172414
Scorer_3,Scorer_1,Contractions,169,139,80,89,59,16,0.47337278106508873,0.5755395683453237,0.5194805194805195,0.5266272189349113,0.1797752808988764
Scorer_3,Scorer_1,Turns,239,531,151,88,380,0,0.6317991631799164,0.2843691148775895,0.3922077922077923,0.3682008368200837,0.0
Scorer_3,Scorer_2,Contractions,169,191,94,75,97,2,0.5562130177514792,0.49214659685863876,0.5222222222222221,0.4437869822485207,0.02666666666666667
Scorer_3,Scorer_2,Turns,239,385,153,86,232,3,0.6401673640167364,0.3974025974025974,0.4903846153846153,0.3598326359832636,0.03488372093023256
